y_true,yhat_test
2543.02,1769.4589334445918
6593.02,6713.5457940650085
1860.47,3840.6666816621455
5339.53,4799.093352331351
5000.0,3242.3489219255716
7532.56,5701.992125358673
2812.79,3992.61516222472
5987.91,6882.3192881088125
2511.63,3872.2476190932866
4409.3,5068.671104552588
4803.49,5438.432621333937
3813.95,5161.341549436434
4825.58,5583.593749688853
5720.93,5552.487988064131
4625.58,4158.574268789653
5511.63,3645.556613882749
7151.16,6419.410604026569
3530.23,2877.0281308687736
6046.51,4898.463201412735
3051.16,5609.656361100153
4958.14,2235.249081343951
7723.26,5697.6364230333165
6511.63,4956.362892050012
5911.63,10614.801595175531
4081.4,4140.140525339533
4418.6,914.2007503344284
5434.88,5402.014979232874
5651.16,3486.1970753479764
3337.21,2617.418316481957
2669.77,2900.1182919308176
4186.05,3253.3316025852037
7008.14,5855.017339065267
3667.44,4262.898913041185
6046.51,4674.325388623802
1811.63,3785.0256449692097
3720.93,2209.4303623187943
2790.7,3773.068814824408
1995.35,1953.0328247017442
1976.74,4683.9433712643695
6498.84,5733.83596545581
5116.28,3054.7146317947736
3581.4,6728.543006940905
1032.56,3977.0506806144404
3861.63,4309.23906913644
3146.51,4665.79771551044
4651.16,3024.6755413943247
7534.88,7220.7545837244415
4000.0,4288.077409529726
2072.09,2030.814017653487
4897.67,3785.944298612474
4709.3,4797.369864274711
3051.16,951.9374705334776
4476.74,5068.390390997425
1695.35,708.5689688759621
4651.16,3881.8038343038206
6245.35,5939.93309601355
4000.0,3732.9556128222175
3627.91,3323.552819000339
6674.42,4514.158345058537
3527.91,2813.2225630020475
5180.23,4196.850552057047
6674.42,5952.234447382631
5404.65,5785.497983312256
4186.05,4052.3074189833496
5469.77,5084.098814876881
3296.51,4832.516840086166
5244.19,4583.0530571579075
6122.09,5315.112732428461
6046.51,18639.33251845989
6105.33,5896.625583915604
4290.7,4210.2005611196255
5148.84,4290.0627592907185
5302.33,4345.357792759769
2186.05,2619.7496945195153
5148.84,4208.881030925428
3906.98,3434.892969577756
5860.47,5940.140699490728
5441.86,6333.572527495671
4922.09,3809.5617708182435
4576.74,3767.70591095851
