,vector,Fitnes
0,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
1,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
2,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
3,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
4,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
5,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
6,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
7,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
8,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
9,[0.549      0.009      0.159      0.283      0.33333333],0.3333333333333333
