,vector,Fitnes
0,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
1,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
2,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
3,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
4,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
5,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
6,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
7,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
8,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
9,[0.511      0.         0.         0.489      0.33333333],0.3333333333333333
