Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
98,0.364483452,0,11546092.1,11546092.1,11546092.1
99,0.196219325,0,14325979.58,14325979.58,14325979.58
100,0.355881453,0,18466606.77,18466606.77,18466606.77
101,0.346937895,0,15699333.36,15699333.36,15699333.36
102,0.260339928,0,14100192.57,14100192.57,14100192.57
103,0.268990779,0,13175131.85,13175131.85,13175131.85
104,0.162839484,0,8213066.62,8213066.62,8213066.62
105,0.246120238,0,14799389.87,14799389.87,14799389.87
106,0.158357286,0,16449195.92,16449195.92,16449195.92
107,0.177109766,0,15373681.08,15373681.08,15373681.08
108,0.157745886,0,16556838.11,16556838.11,16556838.11
109,0.394722939,0,12737740.87,12737740.87,12737740.87
110,0.366827583,0,18931290.61,18931290.61,18931290.61
111,0.167076468,0,8856563.67,8856563.67,8856563.67
112,0.419102836,0,13336512.41,13336512.41,13336512.41
113,0.344070601,0,17689635.62,17689635.62,17689635.62
114,0.378616285,0,12237314.65,12237314.65,12237314.65
115,0.175942898,0,15956911.92,15956911.92,15956911.92
116,0.379870486,0,14996967.5,14996967.5,14996967.5
117,0.3480515,0,18600414.14,18600414.14,18600414.14
118,0.224977207,0,13828604.57,13828604.57,13828604.57
119,0.174914813,0,16259050.99,16259050.99,16259050.99
120,0.390461159,0,11150848.71,11150848.71,11150848.71
121,0.160876179,0,13327493.37,13327493.37,13327493.37
122,0.35376389,0,9922456.49,9922456.49,9922456.49
123,0.404950953,0,18673333,18673333,18673333
124,0.404006505,0,17829604.57,17829604.57,17829604.57
125,0.230163765,0,13189741.6,13189741.6,13189741.6
126,0.249578214,0,17460330.68,17460330.68,17460330.68
127,0.411520529,0,14239010.97,14239010.97,14239010.97
128,0.157375574,0,13839888.29,13839888.29,13839888.29
129,0.214748526,0,13226347.36,13226347.36,13226347.36
130,0.155434394,0,9248549.81,9248549.81,9248549.81
131,0.157961416,0,12984309.61,12984309.61,12984309.61
132,0.40786612,0,18560639.33,18560639.33,18560639.33
133,0.236376691,0,8254159,8254159,8254159
134,0.156781125,0,11000639.08,11000639.08,11000639.08
135,0.156750298,0,11183827.07,11183827.07,11183827.07
136,0.352311492,0,11782982.88,11782982.88,11782982.88
137,0.405822158,0,17619824.11,17619824.11,17619824.11
138,0.36289556,0,19056943.17,19056943.17,19056943.17
139,0.355552936,0,16549220.1,16549220.1,16549220.1
140,0.397170258,0,17002081.75,17002081.75,17002081.75
141,0.344000459,0,14929285.08,14929285.08,14929285.08
142,0.345171547,0,11852849.42,11852849.42,11852849.42
143,0.393538809,0,18736068.72,18736068.72,18736068.72
144,0.214964533,0,11158783.52,11158783.52,11158783.52
145,0.341268373,0,11710248.2,11710248.2,11710248.2
146,0.352964282,0,11908505.31,11908505.31,11908505.31
147,0.193259025,0,14752515.98,14752515.98,14752515.98
148,0.152342081,0,17664675.27,17664675.27,17664675.27
149,0.150743365,0,11739893.67,11739893.67,11739893.67
150,0.152318406,0,11149251.62,11149251.62,11149251.62
151,0.150742173,0,10320058.4,10320058.4,10320058.4
152,0.378498149,0,13041767.23,13041767.23,13041767.23
153,0.18062396,0,15101569.74,15101569.74,15101569.74
154,0.153545332,0,14084006.28,14084006.28,14084006.28
155,0.157188654,0,14570626.8,14570626.8,14570626.8
156,0.152183938,0,14517021.62,14517021.62,14517021.62
157,0.153079772,0,14970669.61,14970669.61,14970669.61
158,0.152295876,0,13365435.06,13365435.06,13365435.06
159,0.173001504,0,14465437.82,14465437.82,14465437.82
160,0.189743972,0,13125656.5,13125656.5,13125656.5
161,0.150214791,0,16557420.83,16557420.83,16557420.83
162,0.150314188,0,13903864.17,13903864.17,13903864.17
163,0.151803327,0,14520562.67,14520562.67,14520562.67
164,0.156207585,0,14940887.57,14940887.57,14940887.57
165,0.151400042,0,16185090.91,16185090.91,16185090.91
166,0.17477324,0,17087630.04,17087630.04,17087630.04
167,0.193050885,0,14544969.06,14544969.06,14544969.06
168,0.338371015,0,16528181.29,16528181.29,16528181.29
169,0.150661111,0,15469251.2,15469251.2,15469251.2
170,0.165535879,0,16692638.75,16692638.75,16692638.75
171,0.156449699,0,18086032.17,18086032.17,18086032.17
172,0.167125583,0,16624259.61,16624259.61,16624259.61
173,0.193781471,0,16282228.84,16282228.84,16282228.84
174,0.156755686,0,17324423.78,17324423.78,17324423.78
175,0.154571056,0,17263405.16,17263405.16,17263405.16
176,0.156639791,0,16825289.78,16825289.78,16825289.78
177,0.152053881,0,14611174.45,14611174.45,14611174.45
178,0.157669902,0,15639913.83,15639913.83,15639913.83
179,0.168970776,0,17270297.67,17270297.67,17270297.67
180,0.191076469,0,17055231.83,17055231.83,17055231.83
181,0.154402852,0,17595863.59,17595863.59,17595863.59
182,0.155621219,0,17035349.36,17035349.36,17035349.36
183,0.151666474,0,16917889.03,16917889.03,16917889.03
184,0.154382324,0,15050391.98,15050391.98,15050391.98
185,0.153769565,0,15190807.12,15190807.12,15190807.12
186,0.171254945,0,15530356.07,15530356.07,15530356.07
187,0.189279342,0,14249171.59,14249171.59,14249171.59
188,0.347035837,0,16747024.91,16747024.91,16747024.91
189,0.342766094,0,15106378.9,15106378.9,15106378.9
190,0.386811876,0,15898620.54,15898620.54,15898620.54
191,0.170662379,0,9433439.14,9433439.14,9433439.14
192,0.153374648,0,11926987.72,11926987.72,11926987.72
193,0.156613374,0,8410358.76,8410358.76,8410358.76
194,0.153212309,0,11470278.59,11470278.59,11470278.59
195,0.152130413,0,11728997.17,11728997.17,11728997.17
196,0.392247176,0,12170590.37,12170590.37,12170590.37
197,0.163406873,0,14159881.5,14159881.5,14159881.5
198,0.156474137,0,16350158.21,16350158.21,16350158.21
199,0.154177737,0,15903958.91,15903958.91,15903958.91
200,0.342676306,0,15377005.27,15377005.27,15377005.27
201,0.167508006,0,17333074.53,17333074.53,17333074.53
202,0.192030668,0,15460663.15,15460663.15,15460663.15
203,0.155103064,0,16206213.22,16206213.22,16206213.22
204,0.153505063,0,19147249,19147249,19147249
205,0.153399897,0,15083537.02,15083537.02,15083537.02
206,0.15513835,0,17050058.77,17050058.77,17050058.77
207,0.158861828,0,16490055.97,16490055.97,16490055.97
208,0.179785895,0,15883569.81,15883569.81,15883569.81
209,0.192735696,0,17953524.36,17953524.36,17953524.36
210,0.153764582,0,18366921.76,18366921.76,18366921.76
211,0.159867978,0,17526393.28,17526393.28,17526393.28
212,0.156661177,0,17888283.41,17888283.41,17888283.41
213,0.153759575,0,15819445.46,15819445.46,15819445.46
214,0.158392859,0,16189543.47,16189543.47,16189543.47
215,0.398746753,0,12538682,12538682,12538682
216,0.153655171,0,9195993.52,9195993.52,9195993.52
217,0.149357271,0,9805933.9,9805933.9,9805933.9
218,0.160037971,0,9253452.43,9253452.43,9253452.43
219,0.152526808,0,9240196.18,9240196.18,9240196.18
220,0.158365583,0,10669673.28,10669673.28,10669673.28
221,0.171383166,0,7504732.64,7504732.64,7504732.64
222,0.194088101,0,8728241.79,8728241.79,8728241.79
223,0.219312286,0,12405387.72,12405387.72,12405387.72
224,0.222286677,0,8438860.7,8438860.7,8438860.7
225,0.177706361,0,11065205.76,11065205.76,11065205.76
226,0.15531981,0,8820431.29,8820431.29,8820431.29
227,0.176748347,0,14488850.44,14488850.44,14488850.44
228,0.202167463,0,9466987.39,9466987.39,9466987.39
229,0.152447271,0,12001154.83,12001154.83,12001154.83
230,0.155502319,0,8955167.69,8955167.69,8955167.69
231,0.159340811,0,9471918.47,9471918.47,9471918.47
232,0.151835036,0,9626264.4,9626264.4,9626264.4
233,0.153512692,0,8782867.38,8782867.38,8782867.38
234,0.178089285,0,11284517.13,11284517.13,11284517.13
235,0.20151639,0,12729506.67,12729506.67,12729506.67
236,0.158073378,0,11544079.05,11544079.05,11544079.05
237,0.154543495,0,12702120.92,12702120.92,12702120.92
238,0.155798554,0,12054412.91,12054412.91,12054412.91
239,0.155416083,0,12536842.86,12536842.86,12536842.86
240,0.367103004,0,11328001.93,11328001.93,11328001.93
241,0.387585282,0,9476100.53,9476100.53,9476100.53
242,0.158618999,0,7968053.14,7968053.14,7968053.14
243,0.352130723,0,12120993.81,12120993.81,12120993.81
244,0.176865506,0,11825831.99,11825831.99,11825831.99
245,0.262467098,0,11861866.71,11861866.71,11861866.71
246,0.155990219,0,15063867.52,15063867.52,15063867.52
247,0.350174904,0,14819389.38,14819389.38,14819389.38
248,0.153939152,0,12381110.3,12381110.3,12381110.3
249,0.157343769,0,14767239.53,14767239.53,14767239.53
250,0.186493587,0,13008610.46,13008610.46,13008610.46
251,0.190152836,0,14775013.16,14775013.16,14775013.16
252,0.16702745,0,14550803.44,14550803.44,14550803.44
253,0.157771611,0,15250855.09,15250855.09,15250855.09
254,0.160725307,0,13655880.77,13655880.77,13655880.77
255,0.162759757,0,13341258.67,13341258.67,13341258.67
256,0.404118514,0,14984680.08,14984680.08,14984680.08
257,0.161924887,0,14560956.96,14560956.96,14560956.96
258,0.162405658,0,13097203.25,13097203.25,13097203.25
259,0.351139021,0,12581544.82,12581544.82,12581544.82
260,0.379047394,0,12446940.11,12446940.11,12446940.11
261,0.38132534,0,15306776.94,15306776.94,15306776.94
262,0.240665078,0,14457578.53,14457578.53,14457578.53
263,0.158641648,0,12197845.16,12197845.16,12197845.16
264,0.383409405,0,12829878.05,12829878.05,12829878.05
