Registro;Time;Best_Fitness_Promedio
227;3,343014479;12632235,11
228;3,304777861;9596206,72
229;3,818113327;10547873,05
230;3,274802685;10257344,67
231;3,22390604;9423906,41
232;3,533466101;12360471,71
233;3,415577888;13370545,69
234;3,279569864;12175159,33
235;3,352449894;13778075,5
236;3,730336905;12685493,19
237;3,290138006;13168736,5
238;1,455439806;9067477,31
239;3,832385302;9044007,73
240;1,458643913;11696988,81
241;3,199362755;12466871,02
242;2,642929554;13036834,68
243;3,674851894;16230271,34
244;3,471333981;15224076,36
245;3,275847435;13547514,11
246;3,409101248;15933643,35
247;3,605991364;14175014,28
248;3,365903854;15941416,98
249;3,457484245;16302397,16
250;3,659878016;16417258,9
251;3,269880533;15267158,89
252;3,355048895;14952536,79
253;1,496653557;14560675,08
254;3,612908602;16172235,08
255;3,256370068;14848796,98
256;1,436074972;12172921,6
257;3,394466877;12793215,21
258;3,609719753;15594658,47
259;1,478533268;14631654,26
260;3,27451992;13364248,98
261;1,664753675;12421254,84
262;1,487133026;14887815,92
263;3,634825468;15705038,19
264;3,355565071;15270713,08
265;3,395435572;16380179,4
266;3,570382357;17656019,64
267;3,173417091;15713140,06
268;3,495325565;18342005,59
269;3,410160303;17417338,2
270;3,507637739;19208705,7
271;3,251403332;20687685,26
272;3,458765745;16775534,97
273;3,603081226;19130726,17
274;3,187255383;14464576,47
275;3,358355761;16850683,7
276;3,378217697;16719436,07
277;2,622088909;12089549,66
278;3,263866901;10250108,06
279;3,275175095;10873001,17
280;3,536902428;18686006,88
281;3,364174843;17832614,32
282;3,192389727;17860841,86
283;3,333298922;11342072,03
284;2,724291801;11857080,51
285;2,630436659;14310605,02
286;1,415780306;13240061,7
287;3,18516016;13409691,63
288;3,043728352;15416371,7
289;3,369142294;13786156,43
290;3,253432035;8783608,5
291;3,357917309;18148639,22
292;2,721764565;19406441,16
293;2,801316261;12755693,52
294;2,690388918;19922687,46
295;1,392035007;16742753,74
296;3,002099752;16161059,65
297;2,574452877;14390096,07
298;2,500300646;14310808,18
299;2,656595469;14293650,94
300;3,012639761;15598088,67
301;2,703012228;19829573,62
302;2,526228666;14389285,98
303;2,711533546;11898556,18
304;2,705923796;13150767,55
305;2,970073938;11332328,09
306;2,439213514;14546138,24
307;2,424321651;15157909,56
308;2,692039967;14057087,2
309;3,027095318;18063985,22
310;2,758980751;13610956,82
311;2,425387621;17865751,5
312;2,592771769;17885556,08
313;3,358277559;18588963,04
314;3,130617857;12089598,21
315;2,496287346;18393027,09
316;2,553888083;19207918,74
317;2,463472843;17262342,11
318;2,474388361;11343966,33
319;3,326858759;15838195,21
320;2,876295805;19056543,03
321;2,694607735;14595164,23
322;2,489439964;17416270,67
323;2,763275862;14968995,97
324;2,968430996;17620726,3
325;3,123330116;16651593,42
326;2,599289179;13188582,1
327;2,66008091;14583424,83
328;3,029889584;15104964,52
329;3,11145854;11780505,29
330;2,433107138;18288064,89
331;2,765864134;18868644,92
332;2,951301575;13215164,8
333;3,148221731;13952217,16
334;2,838550091;17764990,78
335;2,53705287;10702519,36
336;3,077630043;18627930,43
337;3,104025126;13980393,95
338;2,875436068;17776112,66
339;3,122680902;18835444,79
340;2,904729605;9357474,56
341;2,473489523;12977367,99
342;2,818348408;14108814,31
343;2,673005104;12864316,87
344;3,115858555;16761964,46
345;3,354406834;15603445,81
346;2,744078875;16717541,51
347;2,495154858;12754989,64
348;3,098517418;14371201,58
349;2,541377783;18661487,65
350;3,001304388;18081578,73
351;2,582692623;17180953,75
352;3,175152779;14938801,44
353;2,581917524;13073015,46
354;2,917999744;15993945,22
355;2,726638317;16228834,34
356;2,91171813;13893743,76
357;2,580536366;13827845,02
358;3,099832058;19932080,21
359;2,547831535;19435511,26
360;2,842763424;18029273,83
361;2,687074661;18983991,65
362;2,779927731;19633909,02
363;3,003614664;18702346,6
364;2,811274767;17810302,53
365;2,757404089;18050267,7
366;2,786879539;18864561,86
367;2,625853777;19969169,43
368;2,579212189;17687662,56
369;2,920452595;19071543,72
370;2,67964983;19328359,29
371;2,529990673;19966644,31
372;2,556539297;19530507,85
373;2,961653471;18439390,2
374;2,746342659;17607346,14
375;2,659840345;19565786,24
376;2,585664511;19628352,2
377;2,947219849;18990453,62
378;3,116429329;20000763,83
379;2,544476271;18560708,4
380;2,533601522;19214682,81
381;3,009707212;19533109,07
382;2,754027367;18716948,63
383;2,586627483;19331339,93
384;2,521054983;19735751,77
385;2,695656061;18935781,09
386;2,977980614;18426149,06
387;2,638225794;19483995,47
388;2,666008949;19821748,74
389;2,723686218;18166137,73
390;3,067527533;18645565,82
391;2,601581812;17234391,53
392;2,772176027;19784810,32
393;2,631088495;19114399,41
394;2,220188141;16932236,95
395;2,55480504;13407535,11
