Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
0,42.76700019836426,0.0,18147739.84,18147739.84,18147739.84
1,46.76040506362915,0.0,22878268.64,22878268.64,22878268.64
2,57.34379553794861,0.0,23633263.08,23633263.08,23633263.08
3,58.99318480491638,0.0,22484214.24,22484214.24,22484214.24
4,57.315775871276855,0.0,16553713.44,16553713.44,16553713.44
5,48.403560638427734,0.0,23747867.43,23747867.43,23747867.43
6,58.67387056350708,0.0,23758608.85,23758608.85,23758608.85
7,57.7446870803833,0.0,22416657.46,22416657.46,22416657.46
8,58.59422779083252,0.0,20653552.0,20653552.0,20653552.0
9,48.47313642501831,0.0,25574563.26,25574563.26,25574563.26
10,50.37835216522217,0.0,19216557.8,19216557.8,19216557.8
11,49.894253969192505,0.0,21991769.12,21991769.12,21991769.12
12,50.437013149261475,0.0,27747493.72,27747493.72,27747493.72
13,59.632620096206665,0.0,23714679.34,23714679.34,23714679.34
14,51.04936099052429,0.0,21191549.72,21191549.72,21191549.72
15,53.967615842819214,0.0,21427926.77,21427926.77,21427926.77
16,61.95688986778259,0.0,17751791.95,17751791.95,17751791.95
17,60.58016848564148,0.0,15690997.54,15690997.54,15690997.54
18,52.802329540252686,0.0,24266663.88,24266663.88,24266663.88
19,63.96637487411499,0.0,22801031.23,22801031.23,22801031.23
20,63.40908861160278,0.0,19960742.89,19960742.89,19960742.89
21,62.91671013832092,0.0,18217283.13,18217283.13,18217283.13
22,64.05127763748169,0.0,17355663.29,17355663.29,17355663.29
23,53.08768439292908,0.0,17982165.64,17982165.64,17982165.64
24,69.33342599868774,0.0,17917807.11,17917807.11,17917807.11
25,52.88164758682251,0.0,26793101.98,26793101.98,26793101.98
26,55.65655875205994,0.0,24265942.0,24265942.0,24265942.0
27,53.217660903930664,0.0,26346326.98,26346326.98,26346326.98
28,69.67049717903137,0.0,17084260.41,17084260.41,17084260.41
29,68.84984707832336,0.0,23333418.7,23333418.7,23333418.7
30,53.17931842803955,0.0,18625662.7,18625662.7,18625662.7
31,71.02872252464294,0.0,17721849.37,17721849.37,17721849.37
32,72.9151976108551,0.0,21742651.78,21742651.78,21742651.78
33,72.96503448486328,0.0,17388548.25,17388548.25,17388548.25
34,55.968318700790405,0.0,25881091.31,25881091.31,25881091.31
35,72.79629898071289,0.0,19333701.91,19333701.91,19333701.91
36,72.39813828468323,0.0,23002542.22,23002542.22,23002542.22
37,72.5620949268341,0.0,18286026.84,18286026.84,18286026.84
38,53.962501764297485,0.0,26048539.86,26048539.86,26048539.86
39,55.40368866920471,0.0,20262070.79,20262070.79,20262070.79
40,56.683982849121094,0.0,23758362.86,23758362.86,23758362.86
41,73.81444096565247,0.0,14040465.53,14040465.53,14040465.53
42,71.08460593223572,0.0,23019852.54,23019852.54,23019852.54
43,72.07616257667542,0.0,21974510.01,21974510.01,21974510.01
44,69.27399730682373,0.0,17265570.77,17265570.77,17265570.77
45,73.61250948905945,0.0,20898903.49,20898903.49,20898903.49
46,67.97598481178284,0.0,18369115.09,18369115.09,18369115.09
47,54.816720962524414,0.0,24083851.2,24083851.2,24083851.2
48,69.03922629356384,0.0,17406878.79,17406878.79,17406878.79
49,54.84375715255737,0.0,18811039.5,18811039.5,18811039.5
50,54.27515268325806,0.0,22773798.48,22773798.48,22773798.48
51,70.25167298316956,0.0,22722161.83,22722161.83,22722161.83
52,75.01577877998352,0.0,17379062.08,17379062.08,17379062.08
53,54.18016028404236,0.0,20433725.04,20433725.04,20433725.04
54,54.31637954711914,0.0,20914648.03,20914648.03,20914648.03
55,68.95150709152222,0.0,16333822.77,16333822.77,16333822.77
56,67.94032621383667,0.0,21783405.09,21783405.09,21783405.09
57,68.14227962493896,0.0,23312305.16,23312305.16,23312305.16
58,70.12057638168335,0.0,20895739.65,20895739.65,20895739.65
59,71.61314487457275,0.0,21354312.83,21354312.83,21354312.83
60,73.04639482498169,0.0,19188589.33,19188589.33,19188589.33
61,72.34551906585693,0.0,15970858.46,15970858.46,15970858.46
62,72.63542342185974,0.0,23286908.6,23286908.6,23286908.6
63,70.31156659126282,0.0,15373234.67,15373234.67,15373234.67
64,69.5571460723877,0.0,16693918.93,16693918.93,16693918.93
65,68.6014199256897,0.0,16074237.34,16074237.34,16074237.34
66,56.9126615524292,0.0,24542004.85,24542004.85,24542004.85
67,53.18197298049927,0.0,24444246.46,24444246.46,24444246.46
68,54.23342180252075,0.0,21512246.69,21512246.69,21512246.69
69,52.85922574996948,0.0,20938740.49,20938740.49,20938740.49
70,53.91590452194214,0.0,20092411.43,20092411.43,20092411.43
71,54.21925687789917,0.0,21539410.82,21539410.82,21539410.82
72,55.12521934509277,0.0,23914136.43,23914136.43,23914136.43
73,53.51365065574646,0.0,23873495.15,23873495.15,23873495.15
74,53.899160385131836,0.0,24360115.67,24360115.67,24360115.67
75,52.799720764160156,0.0,24341257.87,24341257.87,24341257.87
76,54.99409222602844,0.0,24220098.82,24220098.82,24220098.82
77,55.142967224121094,0.0,23729730.97,23729730.97,23729730.97
78,55.83365607261658,0.0,24196258.79,24196258.79,24196258.79
