iter	MultiClass
0	1.076940066
1	1.056504908
2	1.03818462
3	1.025119362
4	1.01119296
5	0.9990917967
6	0.9879034897
7	0.9784291881
8	0.9680198678
9	0.9587899878
10	0.9499417001
11	0.9431550368
12	0.9355875072
13	0.9270074867
14	0.9209219186
15	0.9141575978
16	0.909327526
17	0.9033871174
18	0.8958982353
19	0.8883946089
20	0.8842863242
21	0.8795242483
22	0.8742607606
23	0.8707128005
24	0.866056485
25	0.8610922218
26	0.8578392072
27	0.8523390881
28	0.8498066339
29	0.846316929
30	0.8442760939
31	0.8414930931
32	0.8380379925
33	0.8336251917
34	0.8269425651
35	0.823415561
36	0.8210013089
37	0.8185094011
38	0.8154946732
39	0.8120893249
40	0.8069689894
41	0.8037190602
42	0.8012267008
43	0.797174981
44	0.7943601037
45	0.7916080093
46	0.7877824557
47	0.7861944455
48	0.7831825646
49	0.780451749
50	0.7781927831
51	0.7755764422
52	0.7731206137
53	0.7690634838
54	0.7659300648
55	0.7629817323
56	0.7603744886
57	0.7592792439
58	0.7574272993
59	0.7543714913
60	0.7526259421
61	0.748604648
62	0.7447825827
63	0.7421317675
64	0.7404831658
65	0.7388222477
66	0.7367608773
67	0.7347842396
68	0.731555608
69	0.7302476582
70	0.7287576362
71	0.7257022664
72	0.7238295378
73	0.7214960521
74	0.7177374499
75	0.7170720653
76	0.7149084292
77	0.7108038821
78	0.7092757106
79	0.7085999307
80	0.7053140336
81	0.7029359928
82	0.7014431305
83	0.699107529
84	0.6973341202
85	0.6934335838
86	0.6899808099
87	0.6883763631
88	0.685037729
89	0.6813905657
90	0.6803360205
91	0.6763003308
92	0.6732944294
93	0.6704318929
94	0.6668310256
95	0.6653981976
96	0.6634840051
97	0.6622255969
98	0.6596560534
99	0.6564331543
100	0.6530247482
101	0.6492787729
102	0.6466420325
103	0.64421198
104	0.6429263375
105	0.6416840255
106	0.6383913418
107	0.6345233677
108	0.6307477281
109	0.6294722151
110	0.6244117559
111	0.6224915812
112	0.6211252435
113	0.6199026526
114	0.6159095802
115	0.6136188739
116	0.6101295085
117	0.6065960479
118	0.6033044635
119	0.5993117428
120	0.5975632687
121	0.5952087769
122	0.5911932401
123	0.5891363801
124	0.5875985322
125	0.5853157077
126	0.5833120987
127	0.5808188781
128	0.5772247702
129	0.5734159318
130	0.571275033
131	0.5690363272
132	0.5661505694
133	0.5647548258
134	0.5615338907
135	0.5599350767
136	0.5586506002
137	0.5567357007
138	0.5540962805
139	0.5512860647
140	0.5482572943
141	0.5457196924
142	0.5432362845
143	0.5407519839
144	0.5381180798
145	0.5359600883
146	0.5337303094
147	0.531399725
148	0.5290539811
149	0.5277668342
150	0.5251595931
151	0.5220930586
152	0.51981237
153	0.5178898536
154	0.515512135
155	0.5138857144
156	0.512930181
157	0.5102224064
158	0.5077255198
159	0.5053837925
160	0.5030186815
161	0.5000607287
162	0.4972516709
163	0.4963571746
164	0.4938663308
165	0.4906954847
166	0.4886272263
167	0.4861101644
168	0.4847028242
169	0.483974335
170	0.4829945925
171	0.4826552792
172	0.4810380385
173	0.4790731183
174	0.4768197401
175	0.4740245046
176	0.4727632492
177	0.471459505
178	0.4693567143
179	0.4678089023
180	0.4674042787
181	0.4659089003
182	0.4649823512
183	0.4632101115
184	0.460857259
185	0.4589464608
186	0.457070248
187	0.456006172
188	0.4543980803
189	0.4527882787
190	0.4516269095
191	0.449586305
192	0.447854519
193	0.446433123
194	0.4452605457
195	0.445041593
196	0.443630025
197	0.4408231768
198	0.4394807193
199	0.4386659956
