iter	Passed	Remaining
399	18153	27230
400	18240	27247
401	18265	27170
402	18288	27091
403	18311	27013
404	18339	26943
405	18364	26867
406	18385	26787
407	18411	26714
408	18436	26640
409	18456	26559
410	18477	26480
411	18498	26401
412	18522	26326
413	18544	26248
414	18571	26178
415	18596	26106
416	18617	26029
417	18642	25957
418	18670	25888
419	18690	25810
420	18713	25736
421	18736	25662
422	18761	25591
423	18783	25516
424	18805	25443
425	18830	25372
426	18854	25301
427	18880	25232
428	18900	25156
429	18924	25085
430	18945	25012
431	18970	24942
432	18992	24869
433	19012	24795
434	19054	24749
435	19075	24675
436	19099	24606
437	19123	24537
438	19143	24463
439	19167	24395
440	19191	24326
441	19214	24256
442	19234	24184
443	19255	24112
444	19278	24043
445	19300	23974
446	19324	23907
447	19349	23841
448	19370	23770
449	19397	23708
450	19422	23642
451	19446	23576
452	19469	23509
453	19489	23439
454	19516	23376
455	19539	23309
456	19560	23241
457	19584	23175
458	19604	23106
459	19627	23041
460	19650	22975
461	19673	22909
462	19696	22844
463	19718	22777
464	19740	22712
465	19761	22645
466	19784	22580
467	19806	22514
468	19831	22453
469	19856	22391
470	19878	22326
471	19899	22260
472	19923	22197
473	19949	22138
474	19974	22076
475	19999	22015
476	20024	21955
477	20053	21899
478	20078	21839
479	20102	21777
480	20125	21715
481	20219	21729
482	20249	21675
483	20277	21617
484	20300	21555
485	20326	21497
486	20366	21454
487	20398	21401
488	20424	21343
489	20449	21283
490	20473	21224
491	20502	21169
492	20525	21108
493	20562	21062
494	20586	21002
495	20613	20945
496	20639	20889
497	20665	20831
498	20691	20773
499	20713	20713
500	20738	20655
501	20761	20596
502	20785	20538
503	20812	20482
504	20835	20422
505	20864	20369
506	20892	20315
507	20914	20255
508	20937	20196
509	20960	20138
510	20982	20078
511	21007	20022
512	21032	19966
513	21055	19908
514	21077	19849
515	21103	19795
516	21129	19739
517	21154	19684
518	21181	19630
519	21204	19573
520	21227	19515
521	21249	19458
522	21273	19402
523	21299	19348
524	21322	19291
525	21344	19234
526	21368	19178
527	21391	19122
528	21412	19065
529	21436	19009
530	21457	18952
531	21480	18896
532	21502	18839
533	21528	18787
534	21551	18731
535	21577	18679
536	21602	18625
537	21628	18572
538	21655	18521
539	21678	18466
540	21700	18411
541	21729	18362
542	21753	18307
543	21777	18254
544	21801	18201
545	21826	18149
546	21853	18098
547	21875	18043
548	21903	17993
549	21926	17939
550	21962	17896
551	21985	17843
552	22008	17789
553	22031	17736
554	22053	17682
555	22075	17628
556	22097	17574
557	22120	17521
558	22140	17467
559	22166	17416
560	22186	17362
561	22210	17309
562	22236	17259
563	22261	17209
564	22283	17155
565	22302	17101
566	22323	17047
567	22346	16995
568	22369	16944
569	22396	16895
570	22418	16843
571	22439	16790
572	22459	16737
573	22483	16686
574	22506	16635
575	22530	16584
576	22550	16531
577	22575	16482
578	22592	16427
579	22615	16376
580	22637	16325
581	22660	16274
582	22681	16223
583	22704	16173
584	22728	16123
585	22753	16075
586	22777	16025
587	22798	15974
588	22822	15925
589	22846	15876
590	22869	15826
591	22895	15779
592	22915	15727
593	22936	15676
594	22959	15627
595	22980	15577
596	23005	15529
597	23026	15479
598	23048	15429
599	23070	15380
600	23093	15331
601	23113	15281
602	23138	15234
603	23160	15184
604	23182	15135
605	23203	15086
606	23227	15038
607	23249	14990
608	23271	14940
609	23295	14893
610	23317	14845
611	23339	14796
612	23364	14750
613	23389	14704
614	23412	14656
615	23435	14608
616	23456	14560
617	23478	14512
618	23501	14465
619	23523	14417
620	23545	14369
621	23565	14321
622	23588	14274
623	23616	14230
624	23634	14180
625	23655	14133
626	23678	14085
627	23702	14040
628	23730	13996
629	23754	13950
630	23775	13903
631	23801	13858
632	23831	13817
633	23853	13770
634	23879	13725
635	23905	13681
636	23931	13637
637	23952	13590
638	23981	13548
639	24008	13504
640	24032	13459
641	24074	13424
642	24101	13381
643	24125	13336
644	24150	13291
645	24172	13246
646	24191	13199
647	24213	13153
648	24237	13108
649	24259	13062
650	24284	13018
651	24309	12974
652	24333	12930
653	24359	12887
654	24383	12843
655	24405	12798
656	24426	12752
657	24448	12707
658	24471	12663
659	24495	12618
660	24519	12575
661	24539	12529
662	24561	12484
663	24584	12440
664	24607	12396
665	24630	12352
666	24653	12308
667	24673	12263
668	24695	12218
669	24715	12173
670	24738	12129
671	24759	12085
672	24779	12040
673	24803	11996
674	24827	11953
675	24847	11909
676	24868	11864
677	24894	11822
678	24917	11779
679	24937	11735
680	24956	11690
681	24979	11647
682	25003	11604
683	25025	11561
684	25047	11518
685	25070	11475
686	25092	11432
687	25126	11394
688	25153	11353
689	25176	11311
690	25197	11267
691	25220	11225
692	25240	11181
693	25267	11140
694	25284	11096
695	25304	11052
696	25325	11009
697	25351	10968
698	25375	10926
699	25402	10886
700	25428	10846
701	25448	10803
702	25471	10761
703	25494	10719
704	25519	10678
705	25539	10635
706	25563	10594
707	25588	10553
708	25610	10511
709	25629	10468
710	25653	10427
711	25676	10386
712	25700	10345
713	25720	10302
714	25743	10261
715	25764	10219
716	25788	10178
717	25812	10138
718	25835	10096
719	25862	10057
720	25883	10015
721	25907	9975
722	25928	9933
723	25951	9892
724	25973	9852
725	25996	9811
726	26019	9770
727	26046	9731
728	26068	9690
729	26102	9654
730	26129	9615
731	26151	9574
732	26172	9533
733	26193	9492
734	26214	9451
735	26241	9412
736	26268	9373
737	26290	9333
738	26312	9292
739	26338	9254
740	26365	9215
741	26386	9174
742	26411	9135
743	26435	9096
744	26456	9055
745	26479	9015
746	26501	8975
747	26524	8935
748	26546	8896
749	26568	8856
750	26593	8817
751	26617	8778
752	26638	8737
753	26660	8698
754	26681	8658
755	26701	8618
756	26725	8578
757	26746	8539
758	26770	8500
759	26793	8461
760	26815	8421
761	26839	8383
762	26864	8344
763	26885	8305
764	26908	8265
765	26931	8227
766	26954	8188
767	26978	8149
768	27002	8111
769	27024	8072
770	27050	8034
771	27074	7995
772	27097	7957
773	27122	7919
774	27144	7880
775	27167	7842
776	27192	7804
777	27215	7765
778	27237	7727
779	27261	7689
780	27285	7651
781	27305	7611
782	27332	7574
783	27357	7537
784	27381	7499
785	27405	7461
786	27429	7423
787	27452	7385
788	27478	7348
789	27503	7311
790	27529	7273
791	27553	7236
792	27579	7199
793	27601	7161
794	27623	7123
795	27649	7085
796	27672	7048
797	27693	7010
798	27716	6972
799	27738	6934
800	27765	6898
801	27791	6861
802	27814	6823
803	27840	6786
804	27864	6749
805	27888	6712
806	27915	6676
807	27941	6639
808	27963	6601
809	27987	6565
810	28011	6528
811	28034	6490
812	28055	6453
813	28076	6415
814	28102	6378
815	28126	6342
816	28148	6305
817	28172	6268
818	28193	6230
819	28218	6194
820	28240	6157
821	28263	6120
822	28287	6083
823	28309	6046
824	28334	6010
825	28354	5972
826	28376	5936
827	28400	5899
828	28422	5862
829	28446	5826
830	28467	5789
831	28492	5753
832	28514	5716
833	28536	5680
834	28557	5643
835	28583	5607
836	28603	5570
837	28619	5532
838	28639	5495
839	28658	5458
840	28676	5421
841	28710	5387
842	28730	5350
843	28751	5314
844	28768	5277
845	28788	5240
846	28805	5203
847	28825	5166
848	28843	5130
849	28866	5094
850	28883	5057
