Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
84,2.831981897354126,0.0,19598969.53,19598969.53,19598969.53
85,2.989349365234375,0.0,13344809.7,13344809.7,13344809.7
86,3.217298984527588,0.0,15034333.14,15034333.14,15034333.14
87,2.5474116802215576,0.0,20329645.56,20329645.56,20329645.56
88,2.84171199798584,0.0,19341040.83,19341040.83,19341040.83
89,3.0083627700805664,0.0,17496966.01,17496966.01,17496966.01
90,3.361453056335449,0.0,16022311.85,16022311.85,16022311.85
91,3.262650966644287,0.0,10083296.84,10083296.84,10083296.84
92,3.822310447692871,0.0,13007625.3,13007625.3,13007625.3
93,3.2278149127960205,0.0,19033959.43,19033959.43,19033959.43
94,2.5721192359924316,0.0,20297811.14,20297811.14,20297811.14
95,3.2288219928741455,0.0,12392979.61,12392979.61,12392979.61
96,3.711350679397583,0.0,12706380.7,12706380.7,12706380.7
97,2.6995699405670166,0.0,14241189.46,14241189.46,14241189.46
98,2.633967161178589,0.0,12281707.93,12281707.93,12281707.93
99,3.693675994873047,0.0,15492383.39,15492383.39,15492383.39
100,2.6150007247924805,0.0,19396258.11,19396258.11,19396258.11
101,2.6467912197113037,0.0,16628984.7,16628984.7,16628984.7
102,2.76129150390625,0.0,15216076.92,15216076.92,15216076.92
103,3.0879645347595215,0.0,14334474.54,14334474.54,14334474.54
104,3.365011215209961,0.0,8854105.64,8854105.64,8854105.64
105,2.770220994949341,0.0,15913432.52,15913432.52,15913432.52
106,3.212522029876709,0.0,17625558.48,17625558.48,17625558.48
107,3.7589473724365234,0.0,16589350.92,16589350.92,16589350.92
108,3.1643307209014893,0.0,17632792.69,17632792.69,17632792.69
109,2.5319325923919678,0.0,13667392.21,13667392.21,13667392.21
110,2.6667773723602295,0.0,19860579.63,19860579.63,19860579.63
111,3.604440212249756,0.0,9497602.7,9497602.7,9497602.7
112,2.98227596282959,0.0,14362906.82,14362906.82,14362906.82
113,2.864708662033081,0.0,18626266.19,18626266.19,18626266.19
114,3.121417284011841,0.0,13264134.87,13264134.87,13264134.87
115,3.499882698059082,0.0,17133274.49,17133274.49,17133274.49
116,2.689453601837158,0.0,16028544.84,16028544.84,16028544.84
117,2.5498743057250977,0.0,19529703.16,19529703.16,19529703.16
118,2.8035037517547607,0.0,14869158.64,14869158.64,14869158.64
119,3.4611940383911133,0.0,17335005.57,17335005.57,17335005.57
120,3.2378907203674316,0.0,11438730.24,11438730.24,11438730.24
121,1.4390945434570312,0.0,14078704.97,14078704.97,14078704.97
122,2.733502149581909,0.0,10837609.33,10837609.33,10837609.33
123,3.015646457672119,0.0,19593652.11,19593652.11,19593652.11
124,2.6021599769592285,0.0,18565220.4,18565220.4,18565220.4
125,2.890735387802124,0.0,14390597.69,14390597.69,14390597.69
126,2.839651346206665,0.0,18476294.01,18476294.01,18476294.01
127,2.914638042449951,0.0,15168515.4,15168515.4,15168515.4
128,3.23030424118042,0.0,15591482.01,15591482.01,15591482.01
129,2.598011016845703,0.0,14385690.04,14385690.04,14385690.04
130,3.4776229858398438,0.0,9884831.05,9884831.05,9884831.05
131,3.434951066970825,0.0,14060264.19,14060264.19,14060264.19
132,2.4881412982940674,0.0,19489928.35,19489928.35,19489928.35
133,1.4527020454406738,0.0,8245404.46,8245404.46,8245404.46
134,3.375727891921997,0.0,11781344.96,11781344.96,11781344.96
135,3.5959808826446533,0.0,12350230.89,12350230.89,12350230.89
