,ID_LOTE,DivisionCadenas
749,4278,"['Ar', 'Ar']"
750,4279,"['FAr', 'FAr', 'FA']"
751,4280,"['FAr', 'FAr', 'FAr']"
752,4281,"['FAr', 'FAr', 'FA']"
753,4282,"['FAr', 'FAr', 'FAr']"
754,4283,"['FAr', 'FAr', 'FA']"
755,4284,"['FAr', 'FAr', 'FA']"
756,4285,"['FAr', 'Ar', 'Ar']"
757,4286,"['FAr', 'FAr']"
758,4287,"['FAr', 'FAr', 'FA']"
759,4288,"['FAr', 'FAr']"
760,4289,"['FAr', 'FAr']"
761,4293,"['FAr', 'FAr', 'Ar']"
762,4294,"['Ar', 'Ar']"
763,4295,"['Ar', 'Ar']"
764,4296,"['Ar', 'Ar']"
765,4309,"['Ar', 'Ar']"
766,4310,"['ArL', 'F']"
767,4311,"['ArL', 'Ar']"
768,4312,"['FrL', 'F']"
769,4313,"['Ar', 'Ar']"
770,4314,"['Ar', 'Ar']"
771,4315,"['Ar', 'Ar']"
772,4316,"['Ar', 'Ar']"
773,4317,"['Ar', 'Ar']"
774,4318,"['Ar', 'Ar']"
775,4319,"['Ar', 'Ar']"
776,4320,"['Ar', 'Ar']"
777,4321,"['Ar', 'Ar']"
778,4322,"['Ar', 'Ar']"
779,4323,"['Ar', 'Ar']"
780,4324,"['FAr', 'Ar']"
781,4325,"['Ar', 'Ar']"
782,4326,"['FAr', 'Ar']"
783,4327,"['FAr', 'FAr']"
784,4328,"['FAr', 'FAr']"
785,4354,"['FAr', 'Ar']"
786,4355,"['Ar', 'Ar']"
787,4360,"['FAr', 'FAr']"
788,4361,"['Ar', 'Ar']"
789,4366,"['FAr', 'Ar']"
790,4367,"['Ar', 'Ar']"
791,4368,"['FAr', 'Ar', 'Ar']"
792,4369,"['FrL', 'ArL']"
793,4370,"['Ar', 'Ar']"
794,4371,"['Ar', 'Ar']"
795,4372,"['FAr', 'Ar']"
796,4376,"['FAr', 'Ar']"
797,4377,"['Ar', 'Ar']"
798,4378,"['AF', 'F']"
799,4379,"['FAr', 'FAr', 'Ar']"
800,4380,"['FAr', 'Ar']"
801,4381,"['ArL', 'Ar']"
802,4382,"['Ar', 'Ar']"
803,4432,"['FAr', 'Ar']"
