,ID_LOTE,DivisionCadenas
169,1984,"['FrL', 'F']"
170,1985,"['FAr', 'FAr']"
171,1987,"['FrL', 'FAr']"
172,1988,"['FAr', 'FAr']"
173,1989,"['L', 'FrL']"
174,1992,"['FAr', 'ArL']"
175,1997,"['ArL', 'FAr']"
176,1998,"['ArA', 'FAr']"
177,2000,"['FAr', 'Ar']"
178,2003,"['FAr', 'FAr']"
179,2004,"['FAr', 'FAr', 'FA']"
180,2005,"['FAr', 'FAr']"
181,2006,"['FAr', 'FAr']"
182,2007,"['FAr', 'FAr']"
183,2008,"['FAr', 'FAr']"
184,2009,"['FrL', 'FA']"
185,2025,"['Ar', 'FAr']"
186,2027,"['FAr', 'FA']"
187,2030,"['FAr', 'F']"
188,2031,"['FAr', 'F']"
189,2032,"['Ar', 'FAr']"
190,2034,"['FAr', 'F']"
191,2035,"['ArL', 'L']"
192,2036,"['FrL', 'FA']"
193,2038,"['FAr', 'F']"
194,2039,"['FrL', 'F']"
195,2040,"['FrL', 'FA']"
196,2041,"['Ar', 'F']"
197,2043,"['Ar', 'F']"
198,2044,"['ArA', 'A']"
199,2045,"['Ar', 'FAr']"
200,2046,"['FAr', 'FA']"
201,2048,"['FAr', 'F']"
202,2049,"['Ar', 'F']"
203,2050,"['Ar', 'FA']"
204,2052,"['Ar', 'FA']"
205,2053,"['Ar', 'FA']"
206,2054,"['Ar', 'FAr']"
207,2055,"['FrL', 'FA']"
208,2056,"['Ar', 'FA']"
209,2057,"['Ar', 'FA']"
210,2081,"['FAr', 'FAr']"
211,2082,"['FAr', 'FA']"
212,2091,"['FAr', 'FA']"
213,2092,"['FAr', 'FAr']"
214,2093,"['FAr', 'FA']"
215,2094,"['FAr', 'FAr', 'FA']"
216,2095,"['FAr', 'FA']"
217,2096,"['FAr', 'FAr']"
218,2097,"['ArL', 'FAr', 'FAr']"
219,2099,"['FrL', 'FAr']"
220,2100,"['FAr', 'FAr']"
221,2101,"['FAr', 'FAr']"
222,2102,"['FrL', 'FAr']"
223,2111,"['FrL', 'L', 'FrL']"
224,2112,"['ArL', 'ArL']"
225,2113,"['FAr', 'Ar']"
226,2154,"['FAr', 'FAr']"
227,2155,"['FAr', 'FAr']"
228,2157,"['FAr', 'FAr']"
229,2171,"['FrL', 'FrL']"
230,2172,"['FAr', 'FAr']"
231,2173,"['FrL', 'L']"
232,2174,['F']
233,2175,"['FrL', 'L']"
234,2176,"['FAr', 'Ar']"
235,2194,"['FrL', 'F']"
236,2200,"['Ar', 'F']"
237,2201,"['Ar', 'FAr']"
238,2202,"['Ar', 'FAr']"
239,2203,"['Ar', 'FAr']"
240,2204,"['Ar', 'FA']"
241,2205,"['Ar', 'FAr']"
242,2206,"['Ar', 'FA']"
243,2207,"['Ar', 'FAr']"
244,2208,"['Ar', 'FAr']"
245,2209,"['Ar', 'F']"
246,2210,"['Ar', 'FAr']"
247,2211,"['Ar', 'FAr']"
248,2212,"['Ar', 'FAr']"
249,2213,"['FAr', 'F']"
250,2214,"['Ar', 'Ar', 'FAr']"
251,2215,"['Ar', 'F']"
252,2216,"['ArA', 'F']"
253,2257,"['FAr', 'Ar']"
254,2258,"['FAr', 'ArA']"
255,2262,"['F', 'FAr']"
256,2263,"['Ar', 'Ar']"
257,2265,['F']
258,2274,"['Ar', 'FAr']"
259,2275,"['Ar', 'F']"
260,2276,"['Ar', 'ArA']"
261,2277,"['FrL', 'FrL']"
262,2278,"['FA', 'ArA']"
263,2280,"['Ar', 'FA']"
264,2282,"['Ar', 'FAr']"
265,2283,"['Ar', 'ArA']"
266,2284,"['FAr', 'Ar']"
267,2285,"['FAr', 'F']"
268,2286,"['ArA', 'ArL']"
269,2287,"['ArA', 'A']"
270,2288,"['Ar', 'FAr']"
271,2308,['ArL']
272,2318,"['Ar', 'ArA']"
273,2319,"['Ar', 'ArA']"
274,2320,"['FAr', 'F']"
275,2321,"['Ar', 'FAr']"
276,2322,"['Ar', 'FAr']"
277,2326,"['F', 'FAr']"
278,2327,"['FAr', 'Ar']"
279,2328,"['F', 'FAr']"
280,2329,"['F', 'F']"
281,2333,"['L', 'L']"
282,2336,"['FAr', 'FrL']"
283,2338,"['FAr', 'ArL']"
284,2340,"['FAr', 'FAr']"
285,2341,"['FAr', 'FAr']"
286,2357,"['FAr', 'FAr']"
287,2359,"['FAr', 'FAr']"
288,2360,"['FAr', 'FAr']"
289,2361,"['FAr', 'FAr']"
290,2363,"['FAr', 'FAr']"
291,2364,"['FAr', 'FAr']"
292,2375,"['FAr', 'FAr']"
293,2376,"['FAr', 'FAr']"
294,2379,"['Ar', 'ArA']"
295,2383,"['Ar', 'FAr']"
296,2387,"['FAr', 'L']"
297,2391,"['FrL', 'L']"
298,2397,"['FAr', 'FAr']"
299,2400,"['FAr', 'FA']"
300,2401,"['FAr', 'FAr']"
301,2402,"['FAr', 'FAr']"
302,2422,"['FAr', 'FAr']"
303,2436,"['FAr', 'FAr']"
304,2437,"['FAr', 'FAr', 'FA']"
305,2438,"['FAr', 'FAr', 'FA']"
306,2439,"['FAr', 'FA']"
307,2440,"['FAr', 'FAr']"
308,2444,"['FAr', 'FAr']"
309,2445,"['FAr', 'FAr', 'AF']"
310,2446,"['FAr', 'FAr']"
311,2448,"['FAr', 'FAr']"
312,2449,"['FAr', 'FAr']"
313,2450,"['FAr', 'FAr']"
314,2454,"['FAr', 'FAr']"
315,2457,"['FAr', 'FAr']"
316,2458,"['FAr', 'FAr']"
317,2459,"['FAr', 'FAr']"
318,2460,"['FAr', 'FA']"
319,2463,"['FAr', 'FAr']"
320,2464,"['FAr', 'FAr']"
321,2465,"['FAr', 'FAr']"
322,2468,"['FAr', 'FA']"
323,2474,"['FAr', 'FA']"
324,2475,"['FAr', 'FA']"
325,2477,"['FAr', 'FAr']"
326,2478,"['FAr', 'FA']"
327,2479,"['FAr', 'FAr']"
328,2481,"['Ar', 'FAr']"
329,2482,"['FAr', 'F']"
330,2483,['F']
331,2484,"['FrL', 'FrL']"
332,2485,"['FAr', 'F']"
333,2486,"['FrL', 'FrL']"
334,2487,"['F', 'F']"
335,2488,['F']
336,2490,['FrL']
337,2491,"['F', 'FAr']"
338,2492,['FrL']
339,2494,"['FAr', 'FA']"
340,2495,"['F', 'F']"
341,2498,"['Ar', 'FAr']"
342,2499,['Ar']
343,2500,"['FAr', 'F']"
344,2502,"['F', 'F']"
345,2503,"['F', 'FAr']"
346,2504,"['FAr', 'FAr', 'FAr']"
347,2506,"['FAr', 'FAr', 'FA']"
348,2513,"['FAr', 'FAr']"
349,2514,"['FAr', 'FAr']"
350,2515,"['FAr', 'FAr']"
351,2516,"['FAr', 'FA']"
352,2517,"['FAr', 'FAr']"
353,2540,"['FrL', 'FrL']"
354,2541,"['F', 'F']"
355,2543,"['FrL', 'FrL']"
356,2544,['F']
357,2545,"['F', 'F']"
358,2607,"['AF', 'FA']"
359,2609,"['FA', 'FA']"
360,2610,"['FAr', 'Ar']"
361,2611,"['Ar', 'FrL']"
362,2612,"['Ar', 'Ar']"
363,2613,"['Ar', 'Ar']"
364,2614,"['L', 'Ar']"
365,2618,['Ar']
366,2619,"['F', 'F']"
367,2626,"['FAr', 'FAr']"
368,2628,"['FAr', 'FAr']"
369,2629,"['FrL', 'L']"
370,2630,"['FrL', 'L']"
371,2631,"['Ar', 'FAr']"
372,2632,"['Ar', 'FAr']"
373,2633,['FAr']
374,2634,"['Ar', 'Ar']"
375,2635,"['FrL', 'L']"
376,2636,"['FrL', 'FrL']"
377,2637,"['FrL', 'L']"
378,2638,"['L', 'L']"
379,2639,['F']
380,2641,['FrL']
381,2642,"['FAr', 'Ar']"
382,2643,['F']
383,2644,"['FrL', 'FrL']"
384,2645,"['FAr', 'FAr']"
385,2646,"['FrL', 'L']"
386,2659,"['FrL', 'FrL']"
387,2660,"['F', 'F']"
388,2663,['L']
389,2664,"['FrL', 'L']"
390,2665,"['FAr', 'Ar']"
391,2675,"['F', 'F']"
392,2677,"['L', 'L']"
393,2678,"['FrL', 'L']"
394,2679,"['FAr', 'FAr']"
395,2680,['FrL']
396,2681,"['FrL', 'FrL']"
397,2682,['F']
398,2684,['FAr']
399,2686,"['FrL', 'L']"
400,2687,"['FAr', 'Ar']"
401,2688,"['FrL', 'FrL']"
402,2689,"['F', 'F']"
403,2691,"['FAr', 'Ar']"
404,2693,['FrL']
405,2746,"['FAr', 'F']"
406,2766,"['Ar', 'FAr']"
407,2770,"['Ar', 'FAr']"
408,2771,"['Ar', 'FAr']"
409,2772,"['Ar', 'FAr']"
410,2773,"['ArL', 'F']"
411,2818,"['FAr', 'Ar']"
412,2827,"['FAr', 'FA']"
413,2841,"['FAr', 'ArL']"
414,2842,"['ArL', 'FrL']"
415,2843,"['FA', 'ArA']"
416,2853,"['FrL', 'F']"
417,2895,"['Ar', 'FAr']"
418,2896,"['Ar', 'F']"
419,2897,"['Ar', 'F']"
420,2898,"['Ar', 'F']"
421,2899,"['FAr', 'F']"
422,2900,"['FAr', 'Ar']"
423,2901,"['Ar', 'FAr']"
424,2902,"['Ar', 'F']"
425,2903,"['FAr', 'F']"
426,2904,"['Ar', 'F']"
427,2905,"['Ar', 'FAr']"
428,2908,"['FAr', 'FAr', 'FAr']"
429,2909,"['FAr', 'FAr', 'FAr']"
430,2910,"['FAr', 'FAr', 'FAr']"
431,2912,"['Ar', 'F']"
432,2913,"['Ar', 'FAr']"
433,2914,"['Ar', 'FAr']"
434,2916,"['FAr', 'FAr', 'FAr']"
435,2917,"['FAr', 'FAr', 'FAr']"
436,2918,"['FAr', 'FAr', 'FAr']"
437,2919,"['FAr', 'FAr', 'FAr']"
438,2920,"['Ar', 'F']"
439,2921,"['Ar', 'F']"
440,2922,"['Ar', 'F']"
441,2923,"['Ar', 'F']"
442,2924,"['Ar', 'FAr']"
443,2925,"['Ar', 'FAr']"
444,2926,"['Ar', 'FAr']"
445,2927,"['ArL', 'FAr']"
446,2928,"['Ar', 'FAr']"
447,2930,"['Ar', 'FAr']"
448,2931,"['Ar', 'F']"
449,2932,"['Ar', 'F']"
450,2933,"['Ar', 'F']"
451,2934,"['Ar', 'FAr']"
452,2935,"['F', 'Ar']"
453,2936,"['Ar', 'F']"
454,2937,"['Ar', 'F']"
455,2938,"['Ar', 'FAr']"
456,2939,"['Ar', 'FAr']"
457,2940,"['Ar', 'F']"
458,2941,"['Ar', 'F']"
459,2942,"['Ar', 'F']"
460,2943,"['Ar', 'F']"
461,2944,"['Ar', 'F']"
462,2946,"['Ar', 'F']"
463,2947,"['Ar', 'F']"
464,2948,"['Ar', 'FAr']"
465,2950,"['FAr', 'F']"
466,2951,"['Ar', 'FAr']"
467,2957,['FAr']
468,2958,"['FAr', 'FAr', 'FAr']"
469,2976,"['Ar', 'F']"
470,2977,"['Ar', 'F']"
471,2979,"['Ar', 'FAr']"
472,2980,"['Ar', 'FAr']"
473,2982,"['Ar', 'FAr']"
474,2983,"['Ar', 'FAr']"
475,2984,"['Ar', 'FAr']"
476,2985,"['Ar', 'FAr']"
477,2997,"['FAr', 'F']"
478,2998,"['Ar', 'FAr']"
479,2999,"['Ar', 'F']"
480,3000,"['Ar', 'FrL']"
481,3016,"['Ar', 'F']"
482,3017,"['Ar', 'FAr']"
483,3018,"['Ar', 'F']"
484,3019,"['Ar', 'FrL']"
485,3020,"['Ar', 'F']"
486,3031,"['FAr', 'FAr']"
487,3032,"['FAr', 'FAr']"
488,3033,"['FAr', 'FAr']"
489,3034,"['FAr', 'ArA']"
490,3035,"['FAr', 'FAr']"
491,3036,"['FAr', 'FAr']"
492,3037,"['FAr', 'FAr', 'FAr']"
493,3038,"['FAr', 'FAr', 'FA']"
494,3039,"['FAr', 'FAr', 'FA']"
495,3040,"['FAr', 'FAr', 'FA']"
496,3041,"['FAr', 'FAr', 'FA']"
497,3042,"['FAr', 'FAr', 'FA']"
498,3043,"['FAr', 'FAr', 'FA']"
499,3045,"['FAr', 'FAr', 'FA']"
500,3046,"['Ar', 'FAr']"
501,3047,"['Ar', 'F']"
502,3048,"['Ar', 'F']"
503,3049,"['FAr', 'F']"
504,3050,"['FAr', 'Ar']"
505,3051,"['Ar', 'FAr']"
506,3052,"['FAr', 'F']"
507,3053,"['FAr', 'F']"
508,3054,"['FAr', 'F']"
509,3055,"['Ar', 'F']"
510,3057,"['Ar', 'FrL']"
511,3058,"['Ar', 'F']"
512,3059,"['Ar', 'FAr']"
513,3060,"['Ar', 'FrL']"
514,3061,"['Ar', 'FA']"
515,3062,"['Ar', 'FAr']"
516,3063,"['Ar', 'FAr']"
517,3064,"['Ar', 'FrL']"
518,3065,"['Ar', 'FrL']"
519,3066,"['Ar', 'F']"
