x,p(x),p(x2),P(X3),30
8630,1.41873E-07,7.07758E-06,0.00020466,
8660,1.01652E-07,5.54537E-06,0.000246589,
8690,7.23892E-08,4.31954E-06,0.000294204,
8720,5.12351E-08,3.34506E-06,0.000347582,
8750,3.60413E-08,2.57532E-06,0.000406631,
8780,2.51983E-08,1.97114E-06,0.000471061,
8810,1.75097E-08,1.49991E-06,0.000540366,
8840,1.20928E-08,1.13468E-06,0.000613809,
8870,8.30066E-09,8.53374E-07,0.000690419,
8900,5.66287E-09,6.38068E-07,0.000768999,
8930,3.83971E-09,4.74302E-07,0.00084815,
8960,2.58761E-09,3.50512E-07,0.000926304,
8990,1.73315E-09,2.57521E-07,0.001001772,
9020,1.15376E-09,1.88096E-07,0.001072798,
9050,7.63359E-10,1.36587E-07,0.001137631,
9080,5.01975E-10,9.86049E-08,0.001194589,
9110,3.28075E-10,7.07698E-08,0.001242138,
9140,2.1311E-10,5.0496E-08,0.001278954,
9170,1.37585E-10,3.58201E-08,0.00130399,
9200,8.82832E-11,2.52614E-08,0.00131652,
9230,5.63018E-11,1.77112E-08,0.001316179,
9260,3.56866E-11,1.23452E-08,0.001302975,
9290,2.24816E-11,8.55476E-09,0.001277296,
9320,1.40762E-11,5.89357E-09,0.001239884,
9350,8.75958E-12,4.03654E-09,0.001191803,
9380,5.41775E-12,2.74853E-09,0.001134389,
9410,3.33038E-12,1.8606E-09,0.001069186,
9440,2.03473E-12,1.25217E-09,0.000997881,
9470,1.23554E-12,8.3779E-10,0.000922228,
9500,7.45668E-13,5.57272E-10,0.000843979,
9530,4.47273E-13,3.68519E-10,0.00076482,
9560,2.66648E-13,2.42277E-10,0.000686311,
9590,1.57994E-13,1.58352E-10,0.000609841,
9620,9.3043E-14,1.02896E-10,0.000536594,
9650,5.44583E-14,6.64707E-11,0.00046753,
9680,3.16798E-14,4.26898E-11,0.000403374,
9710,1.83164E-14,2.72569E-11,0.000344619,
9740,1.05253E-14,1.73018E-11,0.000291544,
9770,6.01129E-15,1.09185E-11,0.000244233,
9800,3.41224E-15,6.85013E-12,0.000202599,
9830,1.92508E-15,4.27261E-12,0.00016642,
9860,1.07944E-15,2.6494E-12,0.000135365,
9890,6.01566E-16,1.63329E-12,0.000109029,
9920,3.33202E-16,1.00101E-12,8.69588E-05,
9950,1.8343E-16,6.0992E-13,6.86779E-05,
9980,1.00363E-16,3.6946E-13,5.371E-05,
10010,5.45772E-17,2.22497E-13,4.15937E-05,
10040,2.94977E-17,1.33211E-13,3.18958E-05,
10070,1.58454E-17,7.92894E-14,2.42199E-05,
10100,8.45977E-18,4.69193E-14,1.82115E-05,
10130,4.48901E-18,2.76025E-14,1.35598E-05,
10160,2.36745E-18,1.61438E-14,9.99763E-06,
10190,1.24094E-18,9.38688E-15,7.29916E-06,
10220,6.46484E-19,5.42623E-15,5.27695E-06,
10250,3.34737E-19,3.11843E-15,3.7777E-06,
10280,1.72261E-19,1.78169E-15,2.67797E-06,
10310,8.81067E-20,1.01202E-15,1.87982E-06,
10340,4.47888E-20,5.7149E-16,1.30666E-06,
10370,2.26291E-20,3.20839E-16,8.99381E-07,
10400,1.13633E-20,1.79071E-16,6.12996E-07,
10430,5.67126E-21,9.93628E-17,4.13719E-07,
10460,2.81315E-21,5.48129E-17,2.76496E-07,
10490,1.3869E-21,3.00609E-17,1.8298E-07,
10520,6.79569E-22,1.63901E-17,1.1991E-07,
