ID_EVENTO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad
294,32.48034548,24.3625,28.42142274,8.117845476,14804.75763,0.15,164.7,0.075,0,81.2,32.52927301,23.77241379,28.1508434,8.756859215,24163.0193,0.155172414,305.1,0.172413793,0,80.24137931,32.17403522,23.42666667,27.80035094,8.747368549,10350.67649,0.033333333,207.8,0.266666667,0,82.63333333
295,32.47038285,24.3775,28.42394143,8.092882853,14967.07944,0.15,173.6,0.1,0,81.275,32.47069495,23.64482759,28.05776127,8.825867369,23857.78671,0.155172414,295,0.155172414,0,80.29310345,32.22020175,23.725,27.97260088,8.495201755,15222.72066,0.045454545,281.8,0.204545455,0,82.15909091
536,32.13763897,23.8125,27.97506948,8.325138968,14092.52032,0,165.1,0.125,0,81.65,32.69557495,23.65517241,28.17537368,9.040402534,22575.08434,0.051724138,140,0.068965517,0,80.46551724,33.11988456,23.25757576,28.18873016,9.862308798,14333.48249,0.151515152,6.4,0,0,74.99694495
537,32.269126,23.78,28.024563,8.489125998,14142.87117,0,132.5,0.125,0,81.85,32.70957695,23.68793103,28.19875399,9.021645918,22838.13814,0.051724138,102.8,0.051724138,0,79.79310345,33.1522309,23.12142857,28.13682973,10.03080233,12457.06605,0.178571429,6.4,0,0,74.49639941
539,32.269126,23.78,28.024563,8.489125998,14142.87117,0,132.5,0.125,0,81.85,32.70957695,23.68793103,28.19875399,9.021645918,22838.13814,0.051724138,102.8,0.051724138,0,79.79310345,33.1522309,23.12142857,28.13682973,10.03080233,12457.06605,0.178571429,6.4,0,0,74.49639941
540,32.00548698,23.92,27.96274349,8.085486985,13566.83705,0.025,167.3,0.125,0,82.075,32.73236324,23.56724138,28.14980231,9.165121863,22634.00587,0.051724138,142,0.068965517,0,80.18965517,33.19167145,23.37954545,28.28560845,9.812125998,19197.85941,0.159090909,6.4,0,0,74.86134508
543,32.27306717,23.665,27.96903358,8.608067166,13642.26664,0.05,271.2,0.2,0,82.1,32.35134748,23.82586207,28.08860477,8.525485408,20510.62279,0,229.1,0.137931034,0,81.82758621,32.79926974,23.43043478,28.11485226,9.368834957,19295.36439,0.065217391,12.6,0,0,78.0412866
548,32.269126,23.78,28.024563,8.489125998,14142.87117,0,132.5,0.125,0,81.85,32.70957695,23.68793103,28.19875399,9.021645918,22838.13814,0.051724138,102.8,0.051724138,0,79.79310345,32.95165739,23.15416667,28.05291203,9.797490718,10574.79395,0.083333333,6.4,0,0,74.62079931
549,32.27306717,23.665,27.96903358,8.608067166,13642.26664,0.05,271.2,0.2,0,82.1,32.35134748,23.82586207,28.08860477,8.525485408,20510.62279,0,229.1,0.137931034,0,81.82758621,32.79926974,23.43043478,28.11485226,9.368834957,19295.36439,0.065217391,12.6,0,0,78.0412866
559,32.41862809,23.8475,28.13306404,8.571128089,13926.42874,0,134.2,0.125,0,82.125,32.65060105,23.57241379,28.11150742,9.07818726,23340.33257,0.051724138,97.3,0.034482759,0,79.13619282,33.47603122,23.22,28.34801561,10.25603122,13360.26898,0.233333333,0,0,0,73.73333333
560,31.98779057,23.97,27.97889529,8.017790574,13301.90065,0.025,162.4,0.125,0,82.45,32.62050316,23.82413793,28.22232054,8.796365227,21859.167,0.017241379,147.7,0.068965517,0,80.94827586,32.76532993,23.1952381,27.98028401,9.570091834,9094.800894,0.095238095,6.4,0,0,76.66186588
617,32.53959458,23.8475,28.19354729,8.692094581,13792.28282,0,134.2,0.125,0,82.225,32.64066214,23.52241379,28.08153797,9.118248348,23501.65238,0.051724138,97.3,0.034482759,0,78.9810204,33.48921871,23.25862069,28.3739197,10.23059802,12852.98557,0.24137931,0,0,0,73.79310345
618,32.51657731,23.87,28.19328865,8.646577306,14052.32694,0,133.2,0.125,0,82.025,32.69558576,23.43448276,28.06503426,9.261103002,23593.01424,0.051724138,97.3,0.034482759,0,78.68791696,34.18402503,23.54181818,28.86292161,10.64220685,24523.87983,0.527272727,4.3,0,0,73.18235473
766,31.87891236,24.52,28.19945618,7.358912364,14549.47379,0.075,196.7,0.15,0,80.7,33.51596795,24.45,28.98298398,9.065967952,22519.29722,0.379310345,313.7,0.120689655,0,78.29310345,32.86,23.688,28.274,9.172,9832.512003,0.24,123.4,0.16,0,79.64
769,32.11524755,24.6225,28.36887377,7.49274755,14710.6309,0.1,166,0.1,0,80.525,33.32159368,24.53275862,28.92717615,8.788835062,22090.72899,0.379310345,315.1,0.137931034,0,78.48275862,32.89333333,23.64,28.26666667,9.253333333,11880.76454,0.2,159.3,0.166666667,0,79.6
779,32.19106241,24.6775,28.4342812,7.513562409,14734.49617,0.05,208.7,0.175,0,80.425,33.58362196,24.14655172,28.86508684,9.437070231,22637.09302,0.431034483,343.1,0.120689655,0,78.48275862,32.17826087,23.55217391,27.86521739,8.626086957,8341.7944,0.086956522,177.6,0.260869565,0,82.08695652
