ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,PH_RASTA,PEDREG_PERFIL_ROCAS,CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm._RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA,prof_efectiva,d.interno,drenaje_externo,porc_A,porc_Ar,porc_ArA,porc_ArL,porc_FrL,porc_L,porc_F,porc_FAr,porc_FA,porc_AF,porc_BLANDO,porc_DURO,porc_EXT_DURO,porc_FRIABLE,porc_FIRME,porc_EXT_FIRME,porc_PLASTICO,porc_MUY_PLASTICO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Rhum_Avg_Mad
2757,2498,Mecanizado,SI,DK 234,Algodón,NO,Manual,SI,4279.069767,5.0,42.0,65.0,60000,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,1.0,PLANO O LLANO,PLANO,2.0,5.0,SIN ROCAS,SI,28.0,8.0,NO,-1.0,NO,ATERRONADA,NO,NO,POCO MARCADAS,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30.0,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,30.0,BUENO,NINGUNO,0.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3775,24.48,28.92875,8.8975,15307.86942,0.45,188.0,0.15,80.9,34.64137931,24.80344828,29.72241379,9.837931034,22929.23636,0.603448276,255.9,0.137931034,78.65133032,33.70666667,24.032306,28.86948633,9.674360664,5867.513355,0.4,51.1,0.133333333,79.89622799
2762,2499,Mecanizado,SI,DK 234,Maiz,SI,Manual,SI,4262.790698,6.0,51.0,84.0,60000,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,230.0,0,0.0,0.0,0,0.0,60.0,0,0,0,3,1.0,PLANO O LLANO,PLANO,1.0,5.5,SIN ROCAS,SI,35.0,10.0,NO,-1.0,NO,ATERRONADA,NO,NO,POCO MARCADAS,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30.0,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,35.0,BUENO,NINGUNO,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2775,24.315,28.79625,8.9625,14610.72058,0.375,198.3,0.15,80.575,34.59310345,24.79283776,29.6929706,9.800265689,22622.31264,0.620689655,227.2,0.120689655,78.6685717,33.4,24.43636364,28.91818182,8.963636364,16768.08101,0.340909091,135.3,0.136363636,82.10098681
2763,2500,Mecanizado,SI,P3966 (Pioneer),Algodón,NO,Manual,SI,4558.139535,6.0,50.0,76.0,60000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,276.0,0,0.0,0.0,0,0.0,0.0,0,0,0,3,1.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,35.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,50.0,BUENO,NINGUNO,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0.0,0.0,33.3225,24.31,28.81625,9.0125,14614.81444,0.375,198.3,0.15,80.5,34.40689655,24.66869983,29.53779819,9.738196723,22731.31063,0.551724138,260.1,0.137931034,79.22794101,33.37714286,24.36857143,28.87285714,9.008571429,13283.73165,0.342857143,101.1,0.142857143,81.91428571
2766,2502,Mecanizado,NO,DK 234,Maiz,SI,Manual,SI,4081.395349,6.0,50.0,83.0,60000,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,161.0,0,0.0,0.0,0,0.0,30.0,0,0,0,3,1.3,ONDULADO,PLANO CON ONDULACIONES,2.0,6.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25.0,PLANTAS NORMALES,NO,NO,SI,SI,BUENO,50.0,BUENO,NINGUNO,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.3075,24.3575,28.8325,8.95,15132.60815,0.35,181.1,0.125,80.44442897,34.31724138,24.54283776,29.43003957,9.77440362,22715.79005,0.534482759,272.6,0.155172414,79.45592103,33.27619048,24.50952381,28.89285714,8.766666667,15872.83825,0.357142857,119.9,0.119047619,82.30952381
2767,2503,Manual,NO,PAC 105,Maiz,NO,Manual,SI,3809.302326,5.0,51.0,77.0,60000,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,184.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,1.0,PLANO O LLANO,PLANO,2.0,5.5,SIN ROCAS,SI,35.0,12.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25.0,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,35.0,BUENO,NINGUNO,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.3225,24.3175,28.82,9.005,14608.84379,0.375,198.3,0.15,80.55,34.44137931,24.71525155,29.57831543,9.726127758,22710.92973,0.568965517,242.8,0.120689655,79.09000997,33.39444444,24.35555556,28.875,9.038888889,13693.13868,0.333333333,118.4,0.166666667,81.94444444
2771,2513,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,4930.232558,5.0,46.0,78.0,73000,12,0,0,0,0,0,0,2,0,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,60.0,0,0,0,4,4.0,PLANO O LLANO,PLANO,2.0,5.5,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,22.0,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,60.0,BUENO,LENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,33.8925,24.79,29.34125,9.1025,15447.87574,0.45,118.3,0.075,79.06942897,33.91724138,24.34283776,29.13003957,9.57440362,22537.00573,0.465517241,306.6,0.189655172,80.33523138,33.34375,24.59375,28.96875,8.75,11958.45138,0.375,64.5,0.0625,82.6875
2772,2514,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,5368.604651,5.0,46.0,81.0,72000,14,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,60.0,0,0,0,4,5.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,19.0,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,60.0,BUENO,LENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,34.3675,24.8875,29.6275,9.48,15771.33664,0.525,98.2,0.05,77.96942897,33.67586207,24.31525155,28.99555681,9.360610517,22303.83284,0.413793103,317.6,0.206896552,81.00764517,33.4,24.52571429,28.96285714,8.874285714,13318.44643,0.428571429,74.7,0.057142857,82.22857143
2773,2515,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Manual,NO,3813.953488,5.0,47.0,89.0,70000,15,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,30.0,0,0,0,3,3.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23.0,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,60.0,BUENO,LENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,56.67,43.33,0.0,0.0,0.0,33.8275,24.73,29.27875,9.0975,15505.82049,0.425,118.3,0.075,79.26942897,33.98965517,24.41869983,29.2041775,9.570955344,22471.86148,0.482758621,306.2,0.189655172,80.24902448,33.4,24.49545455,28.94772727,8.904545455,16676.58863,0.409090909,188.5,0.113636364,82.06818182
2774,2516,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,4744.186047,5.0,47.0,71.0,70000,64,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,12.0,69.0,0,24.0,0.0,0,12.0,60.0,0,0,1,4,5.0,PLANO O LLANO,PLANO,2.0,5.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,18.0,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60.0,BUENO,LENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,53.33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,34.935,23.47461008,29.20480504,11.46038992,16006.30843,0.625,95.8,0.075,80.83768594,35.05517241,23.21918205,29.13717723,11.83599036,24582.03477,0.74137931,424.4,0.172413793,81.08882166,35.2,23.18223943,29.19111971,12.01776057,10507.06752,0.769230769,36.9,0.038461538,80.75643093
2775,2517,Mecanizado,NO,PIONEER 30F35 HRR,Maiz,SI,Manual,NO,4651.162791,5.0,47.0,70.0,70000,64,1,0,0,0,0,0,1,1,0,0,1,0,0,0.0,12.0,69.0,0,24.0,0.0,0,12.0,60.0,0,0,1,4,5.0,PLANO O LLANO,PLANO,2.0,5.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20.0,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60.0,BUENO,LENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,34.94,23.45961008,29.19980504,11.48038992,15962.7622,0.65,91.8,0.075,80.86268594,35.06206897,23.21918205,29.14062551,11.84288691,24471.75175,0.74137931,427.4,0.172413793,81.08882166,35.224,23.19752901,29.2107645,12.02647099,10179.27176,0.76,33.9,0.04,80.74668817
