ID_EVENTO,ID_PROD,FECHA_PREP,PROF_PREP
1706,963,4/2/2014,5
1706,963,4/2/2014,NULL
1711,974,3/20/2014,5
1711,974,3/20/2014,5
1711,974,3/20/2014,NULL
1717,968,4/24/2014,5
1717,968,4/24/2014,5
1717,968,4/24/2014,NULL
1721,973,4/22/2014,5
1721,973,4/22/2014,5
1721,973,4/22/2014,NULL
1722,963,4/2/2014,5
1722,963,4/2/2014,5
1722,963,4/2/2014,NULL
1724,826,4/19/2014,25
1725,980,4/8/2014,5
1725,980,4/8/2014,5
1725,980,4/8/2014,NULL
1728,844,3/11/2014,25
1729,861,3/11/2014,25
1730,967,2/14/2014,5
1730,967,2/14/2014,5
1730,967,2/14/2014,NULL
1732,1059,6/10/2014,5
1732,1059,6/10/2014,5
1732,1059,6/10/2014,NULL
1733,981,6/10/2014,5
1733,981,6/10/2014,5
1733,981,6/10/2014,NULL
1734,1477,6/10/2014,5
1734,1477,6/10/2014,5
1734,1477,6/10/2014,NULL
1735,970,5/2/2014,5
1735,970,5/2/2014,5
1735,970,5/2/2014,NULL
1736,819,4/10/2014,25
1737,1478,3/5/2014,5
1737,1478,3/5/2014,5
1737,1478,3/5/2014,NULL
1738,213,3/10/2014,5
1738,213,3/10/2014,5
1738,213,3/10/2014,NULL
1739,1479,3/20/2014,5
1739,1479,3/20/2014,5
1739,1479,3/20/2014,NULL
1740,1480,5/25/2014,5
1740,1480,5/25/2014,5
1740,1480,5/25/2014,NULL
1741,823,2/20/2014,25
1745,833,4/3/2014,25
1746,968,4/18/2014,5
1746,968,4/18/2014,5
1746,968,4/18/2014,NULL
1747,1059,4/12/2014,5
1747,1059,4/12/2014,5
1747,1059,4/12/2014,NULL
1748,1483,4/17/2014,20
1748,1483,4/18/2014,15
1749,1483,4/15/2014,20
1749,1483,4/18/2014,15
1750,1490,4/25/2014,NULL
1751,1485,4/8/2014,20
1751,1485,4/10/2014,15
1752,1485,4/10/2014,20
1752,1485,4/12/2014,15
1753,1490,4/25/2014,NULL
1755,1489,4/8/2014,20
1755,1489,4/10/2014,15
1756,726,4/8/2014,20
1756,726,4/13/2014,15
1757,1482,4/9/2014,20
1757,1482,4/14/2014,15
1759,1488,4/10/2014,20
1759,1488,4/17/2014,15
1761,1487,4/16/2014,NULL
1762,234,4/16/2014,20
1762,234,4/19/2014,15
1774,1500,11/8/2014,NULL
1775,539,12/17/2014,NULL
1776,1501,9/10/2014,15
1777,1502,11/7/2014,30
1777,1502,11/7/2014,30
1779,1501,9/10/2014,20
1780,1505,8/24/2014,20
1781,1506,11/6/2014,NULL
1782,1507,9/27/2014,NULL
1784,1506,11/15/2014,20
1785,1510,11/13/2014,NULL
1786,1511,9/20/2014,20
1787,44,9/24/2014,NULL
1788,1512,10/6/2014,NULL
1789,1513,9/15/2014,NULL
1790,1514,10/2/2014,NULL
1791,1510,11/20/2014,NULL
1792,1510,10/24/2014,NULL
1793,1515,9/27/2014,20
1794,1516,9/17/2014,NULL
1796,1518,12/10/2014,NULL
1797,1519,12/4/2014,NULL
1798,1501,10/28/2014,NULL
1801,1524,9/26/2014,NULL
1802,1526,11/7/2014,20
1803,44,3/17/2014,NULL
1804,53,5/6/2014,20
1812,1532,8/15/2014,25
1812,1532,8/18/2014,15
1812,1532,8/19/2014,NULL
1815,1533,9/19/2014,25
1815,1533,9/22/2014,15
1815,1533,9/24/2014,NULL
1816,1539,9/20/2014,25
1816,1539,9/22/2014,15
1816,1539,9/24/2014,NULL
1817,1536,8/21/2014,15
1817,1536,8/25/2014,NULL
1818,1534,10/10/2014,15
1818,1534,10/14/2014,NULL
1819,1540,9/16/2014,25
1819,1540,9/19/2014,15
1819,1540,9/24/2014,NULL
1820,1542,9/5/2014,15
1820,1542,9/7/2014,NULL
1821,1541,8/19/2014,20
1821,1541,8/22/2014,15
1821,1541,8/24/2014,NULL
1822,1538,9/16/2014,25
1822,1538,9/17/2014,25
1822,1538,9/19/2014,NULL
1823,1537,9/24/2014,25
1823,1537,9/26/2014,15
1823,1537,9/29/2014,NULL
1836,1563,3/2/2014,25
1837,1564,3/5/2014,25
1838,1565,4/10/2014,0
1839,1566,3/30/2014,0
1840,1567,3/20/2014,0
1841,1568,3/21/2014,0
1842,1569,3/27/2014,0
1843,1570,4/2/2014,0
1846,1109,7/10/2014,25
1867,1685,2/20/2015,25
1868,1687,1/1/2015,25
1873,1694,2/11/2015,25
1874,551,3/25/2015,25
1876,1698,3/20/2015,25
1877,1699,2/5/2015,25
1879,1535,11/4/2014,30
1879,1535,11/5/2014,22
1879,1535,11/7/2014,NULL
1892,1723,2/10/2015,18
1892,1723,2/15/2015,15
1903,1595,10/2/2014,15
1903,1595,10/2/2014,20
1903,1595,10/2/2014,NULL
1904,1738,10/20/2014,20
1904,1738,10/20/2014,15
1904,1738,10/20/2014,NULL
1905,1574,10/20/2014,20
1905,1574,10/20/2014,19
1905,1574,10/20/2014,NULL
1906,1580,9/20/2014,20
1906,1580,9/20/2014,18
1906,1580,9/20/2014,NULL
1907,1575,9/8/2014,20
1907,1575,9/8/2014,20
1907,1575,9/8/2014,NULL
1908,1740,10/10/2014,20
1908,1740,10/10/2014,20
1908,1740,10/10/2014,NULL
1909,1741,10/10/2014,20
1909,1741,10/10/2014,20
1909,1741,10/10/2014,NULL
1910,1742,8/10/2014,20
1910,1742,8/10/2014,20
1910,1742,8/10/2014,NULL
1911,1743,8/10/2014,20
1911,1743,8/10/2014,20
1911,1743,8/10/2014,NULL
1912,1744,10/15/2014,20
1912,1744,10/15/2014,20
1912,1744,10/15/2014,NULL
1913,1590,11/5/2014,20
1915,1746,9/10/2014,18
1915,1746,9/10/2014,17
1915,1746,9/10/2014,NULL
1916,1750,10/20/2014,20
1916,1750,10/20/2014,20
1917,1579,4/20/2014,20
1917,1579,4/20/2014,20
1917,1579,4/20/2014,NULL
1918,1576,9/10/2014,18
1918,1576,9/10/2014,20
1918,1576,9/10/2014,NULL
1919,1577,9/10/2014,10
1919,1577,9/10/2014,18
1919,1577,9/10/2014,NULL
1920,692,5/15/2015,NULL
1921,1747,5/15/2015,NULL
1922,1748,12/16/2015,NULL
1923,1749,5/21/2015,NULL
1924,1069,6/20/2015,NULL
1925,1070,5/14/2015,NULL
1926,1074,5/25/2015,NULL
1929,633,4/24/2015,NULL
1930,1578,9/10/2014,18
1930,1578,9/10/2014,18
1930,1578,9/10/2014,NULL
1931,1578,12/6/2014,18
1931,1578,12/6/2014,NULL
1932,1752,10/10/2014,18
1932,1752,10/10/2014,NULL
1933,1581,7/20/2014,18
1933,1581,7/20/2014,NULL
1934,1582,11/1/2014,18
1934,1582,11/1/2014,20
1934,1582,11/1/2014,NULL
1935,1590,8/10/2014,18
1935,1590,8/10/2014,18
1935,1590,8/10/2014,NULL
1939,1716,2/12/2015,25
1939,1716,2/13/2015,18
1939,1716,2/14/2015,NULL
1940,1715,2/9/2015,28
1940,1715,2/10/2015,18
1940,1715,2/13/2015,NULL
1941,1714,2/20/2015,25
1941,1714,2/21/2015,15
1941,1714,2/23/2015,NULL
1942,1704,2/6/2015,25
1942,1704,2/9/2015,15
1942,1704,2/10/2015,NULL
1943,1713,2/12/2015,25
1943,1713,2/13/2015,15
1943,1713,2/16/2015,NULL
1944,1719,2/18/2015,20
1944,1719,2/20/2015,12
1944,1719,2/21/2015,NULL
1945,1717,4/9/2015,20
1945,1717,4/11/2015,12
1945,1717,4/12/2015,NULL
1946,1718,2/10/2015,18
1946,1718,2/12/2015,12
1946,1718,2/20/2015,NULL
1947,1756,2/28/2015,18
1947,1756,3/1/2015,12
1947,1756,3/2/2015,NULL
1948,1757,4/15/2015,18
1948,1757,4/16/2015,12
1948,1757,4/17/2015,NULL
1951,692,4/28/2015,NULL
1955,1584,10/27/2014,20
1955,1584,10/27/2014,20
1955,1584,10/27/2014,NULL
1956,1585,11/30/2014,20
1956,1585,11/30/2014,20
1956,1585,11/30/2014,NULL
1957,1586,10/20/2014,18
1957,1586,10/20/2014,20
1957,1586,10/20/2014,NULL
1958,1587,11/5/2014,20
1958,1587,11/5/2014,20
1958,1587,11/5/2014,NULL
1959,1588,11/1/2014,20
1959,1588,11/1/2014,20
1959,1588,11/1/2014,NULL
1960,1589,11/20/2014,20
1960,1589,11/20/2014,20
1960,1589,11/20/2014,NULL
1961,1583,9/5/2014,20
1961,1583,9/5/2014,20
1961,1583,9/5/2014,NULL
1977,1783,3/19/2015,0
1978,1784,3/20/2015,15
1979,1785,3/24/2015,15
2007,1825,3/17/2015,5
2008,1826,5/10/2015,15
2016,1843,5/15/2015,20
2018,1894,5/5/2015,20
2019,1895,5/1/2015,20
2020,1896,5/17/2015,NULL
2021,1897,5/20/2015,NULL
2022,1898,5/26/2015,NULL
2023,1902,5/5/2015,NULL
2029,1903,5/5/2015,20
2030,1907,5/7/2015,20
2034,1921,5/14/2015,20
2035,1924,4/30/2015,20
2038,1925,5/10/2015,20
2039,1926,5/27/2015,NULL
2040,1927,4/16/2015,20
2041,1928,4/15/2015,20
2042,1929,4/10/2015,20
2043,1930,5/15/2015,20
2044,1931,5/15/2015,NULL
2045,1931,3/30/2015,20
2048,1932,5/28/2015,NULL
2050,1919,4/28/2015,20
2065,1901,8/5/2015,12
2066,1947,5/15/2015,12
2069,1961,5/22/2015,NULL
2079,1966,5/1/2015,20
2079,1966,5/1/2015,20
2080,1967,5/1/2015,20
2080,1967,5/1/2015,20
2081,1968,5/1/2015,20
2081,1968,5/1/2015,20
2082,1964,5/20/2015,NULL
2083,1969,5/4/2015,20
2084,1960,4/25/2015,20
2085,1963,5/23/2015,NULL
2086,1970,5/1/2015,20
2086,1970,5/1/2015,20
2087,1962,5/26/2015,NULL
2088,1971,5/9/2015,20
2089,1933,5/20/2015,NULL
2096,2012,3/15/2015,20
2097,2009,5/15/2015,25
2102,2006,4/28/2015,12
2103,2005,5/23/2015,12
2105,1991,5/5/2015,12
2111,2018,4/15/2015,20
2113,2020,5/12/2015,20
2115,2021,3/10/2015,20
2123,2026,3/15/2015,NULL
2124,2027,3/20/2015,NULL
2126,1981,5/25/2015,NULL
2127,1980,4/20/2015,20
2128,1979,4/10/2015,20
2129,1978,5/15/2015,NULL
2130,1977,5/17/2015,NULL
2131,1976,4/10/2015,20
2132,1975,4/29/2015,20
2133,1974,4/17/2015,20
2134,1989,4/30/2015,20
2135,1988,5/19/2015,20
2136,1987,5/10/2015,20
2137,1986,5/8/2015,20
2138,1985,5/6/2015,NULL
2139,1984,4/28/2015,20
2140,1983,4/25/2015,20
2141,1982,5/10/2015,20
2142,2037,5/10/2015,NULL
2146,2038,3/8/2015,20
2147,2038,3/15/2015,NULL
2153,2067,5/2/2015,35
2154,2068,4/10/2015,40
2155,2066,5/18/2015,NULL
2156,2066,5/2/2015,NULL
2157,2065,5/26/2015,NULL
2159,2070,5/15/2015,20
2160,2071,5/9/2015,20
2162,2064,5/22/2015,NULL
2164,2064,6/1/2015,NULL
2166,2063,5/25/2015,NULL
2168,2062,5/25/2015,20
2169,2061,5/23/2015,NULL
2170,2060,5/16/2015,NULL
2183,2033,5/10/2015,12
2185,2017,3/14/2015,20
2186,2036,5/15/2015,15
2187,2076,3/10/2015,NULL
2189,2013,3/17/2015,20
2192,2015,3/10/2015,NULL
2194,2014,3/15/2015,20
2204,2123,3/10/2015,20
2205,2059,6/1/2015,NULL
2206,2058,5/24/2015,NULL
2207,2124,5/16/2015,20
2208,2057,5/21/2015,NULL
2210,2073,3/7/2015,20
2212,2056,5/24/2015,NULL
2213,2073,3/15/2015,20
2214,2045,5/28/2015,NULL
2215,2126,3/5/2015,NULL
2216,2055,4/25/2015,15
2217,2127,3/5/2015,25
2218,2054,5/19/2015,NULL
2219,2021,3/1/2015,NULL
2220,2053,5/7/2015,15
2222,2051,4/20/2015,15
2223,2015,3/5/2015,NULL
2224,2050,5/15/2015,15
2225,2049,5/15/2015,15
2226,2128,3/2/2015,20
2227,2048,5/23/2015,NULL
2228,2047,5/20/2015,NULL
2229,2047,5/21/2015,NULL
2230,2046,4/10/2015,15
2232,2130,3/5/2015,20
2236,2146,5/2/2015,20
2238,2148,5/11/2015,20
2238,2148,5/11/2015,20
2239,2076,3/2/2015,20
2240,2076,3/1/2015,20
2241,2143,5/5/2015,15
2242,2143,6/7/2015,NULL
2243,2131,5/10/2015,15
2244,2131,5/10/2015,15
2245,2149,4/20/2015,20
2245,2149,4/20/2015,20
2245,2149,4/20/2015,NULL
2246,2150,4/22/2015,15
2246,2150,4/22/2015,15
2246,2150,4/22/2015,NULL
2247,2151,4/10/2015,20
2247,2151,4/10/2015,20
2247,2151,4/10/2015,NULL
2248,2151,4/20/2015,20
2248,2151,4/20/2015,20
2248,2151,4/20/2015,NULL
2251,2154,3/25/2015,20
2251,2154,3/25/2015,20
2251,2154,3/25/2015,NULL
2252,2154,3/20/2015,20
2252,2154,3/20/2015,20
2252,2154,3/20/2015,NULL
2253,2155,4/10/2015,20
2253,2155,4/10/2015,20
2253,2155,4/10/2015,NULL
2254,2156,3/20/2015,20
2254,2156,3/20/2015,20
2254,2156,3/20/2015,NULL
2255,2157,3/12/2015,20
2255,2157,3/12/2015,20
2255,2157,3/12/2015,NULL
2256,1065,3/29/2015,15
2256,1065,4/5/2015,15
2257,1726,3/15/2015,20
2257,1726,3/30/2015,15
2258,1723,2/12/2015,20
2258,1723,2/16/2015,15
2259,1864,3/8/2015,20
2259,1864,3/8/2015,20
2259,1864,3/8/2015,NULL
2260,1864,3/5/2015,20
2260,1864,3/5/2015,20
2260,1864,3/5/2015,NULL
2264,1855,5/6/2015,20
2264,1855,5/6/2015,20
2264,1855,5/6/2015,NULL
2266,1855,3/10/2015,20
2266,1855,3/10/2015,20
2266,1855,3/10/2015,NULL
2267,2143,5/30/2015,NULL
2268,1724,3/14/2015,20
2268,1724,4/3/2015,15
2269,2142,4/27/2015,20
2270,2141,5/19/2015,NULL
2271,2140,4/22/2015,16
2272,2139,5/25/2015,NULL
2273,2138,5/18/2015,NULL
2274,2185,3/10/2015,20
2274,2185,3/10/2015,20
2274,2185,3/10/2015,NULL
2276,2137,5/15/2015,NULL
2277,2186,5/15/2015,20
2278,2136,5/29/2015,NULL
2279,2187,4/18/2015,20
2279,2187,4/18/2015,20
2279,2187,4/18/2015,NULL
2280,2135,5/20/2015,NULL
2281,2186,5/15/2015,20
2282,2134,5/23/2015,NULL
2283,2133,4/30/2015,15
2284,2132,5/6/2015,15
2285,2188,4/20/2015,20
2285,2188,4/20/2015,20
2285,2188,4/20/2015,NULL
2286,2189,4/20/2015,20
2286,2189,4/20/2015,20
2286,2189,4/20/2015,NULL
2287,2190,4/15/2015,20
2287,2190,4/15/2015,20
2287,2190,4/15/2015,NULL
2288,2195,3/19/2015,20
2288,2195,3/19/2015,20
2288,2195,3/19/2015,NULL
2291,2127,3/2/2015,25
2292,2200,5/6/2015,15
2293,2199,4/20/2015,15
2294,2198,3/15/2015,NULL
2295,2129,3/6/2015,20
2296,2211,3/18/2015,NULL
