ID_EVENTO,ID_LOTE,ID_FINCA,ID_PROD,FECHA_SIEMBRA,LAT_LOTE,LONG_LOTE,FECHA_EMERGENCIA,FECHA_FLORACION,FECHA_COSECHA,DEPARTAMENTO,MUNICIPIO,PROD_COSECHADO,RDT_AJUSTADO
4277,3942,4126,2002,2016-05-17,9.140854518,-75.77487812,2016-05-21,2016-07-08,2016-09-26,CORDOBA,LORICA,Grano seco,5244.186046511628
4291,3946,4130,1953,2016-05-16,9.138524,-75.7788441,2016-05-19,2016-07-05,2016-09-29,CORDOBA,LORICA,Grano seco,6310.46511627907
4299,3945,4129,1949,2016-05-10,9.10518773,-75.7930949,2016-05-14,2016-06-30,2016-09-19,CORDOBA,LORICA,Grano seco,5720.930232558139
4300,3944,4128,1991,2016-05-05,8.95607401,-75.6333961,2016-05-09,2016-06-25,2016-09-19,CORDOBA,CIENAGA DE ORO,Grano seco,5720.930232558139
4301,3943,4127,2007,2016-05-12,9.130270119,-75.7835353,2016-05-15,2016-07-02,2016-09-19,CORDOBA,LORICA,Grano seco,5767.441860465116
4302,3941,4125,2002,2016-05-16,9.138822,-75.779538,2016-05-20,2016-07-05,2016-09-26,CORDOBA,LORICA,Grano seco,5720.930232558139
4303,3940,4124,2082,2016-05-16,9.13476988,-75.780426,2016-05-20,2016-07-04,2016-09-19,CORDOBA,LORICA,Grano seco,6122.093023255814
4316,4083,4258,2080,2016-05-15,8.90612701,-75.6793873,2016-05-19,2016-07-06,2016-10-05,CORDOBA,CIENAGA DE ORO,Grano seco,6102.325581395349
4323,4087,4259,2286,2016-05-22,9.14777259,-75.8041211,2016-05-26,2016-07-13,2016-10-06,CORDOBA,LORICA,Grano seco,6197.674418604652
4324,4084,4267,4661,2016-05-25,9.09766378,-75.79096058,2016-05-29,2016-07-14,2016-10-10,CORDOBA,COTORRA,Grano seco,5816.279069767442
4325,4085,4268,4661,2016-05-24,9.09650905,-75.7896087,2016-05-28,2016-07-14,2016-10-11,CORDOBA,COTORRA,Grano seco,6006.976744186047
4326,4088,4260,2035,2016-05-18,9.10320337,-75.789899,2016-05-22,2016-07-08,2016-10-03,CORDOBA,LORICA,Grano seco,5053.488372093024
4327,4086,4257,2225,2016-05-17,8.91008726,-75.6887059,2016-05-21,2016-07-04,2016-09-29,CORDOBA,CIENAGA DE ORO,Grano seco,5839.53488372093
4328,4092,4261,2032,2016-05-12,9.06636769,-75.8182987,2016-05-16,2016-07-03,2016-09-19,CORDOBA,LORICA,Grano seco,4767.441860465116
4330,4089,4263,1951,2016-05-16,9.11913629,-75.79751381,2016-05-20,2016-07-06,2016-09-29,CORDOBA,LORICA,Grano seco,5180.232558139535
4331,4094,4264,2033,2016-05-17,9.11656666,-75.8261499,2016-05-22,2016-07-08,2016-10-06,CORDOBA,LORICA,Grano seco,5434.883720930233
4332,4093,4262,1952,2016-05-22,9.11913112,-75.79842607,2016-05-26,2016-07-11,2016-10-03,CORDOBA,LORICA,Grano seco,5148.837209302325
4333,4090,4266,2077,2016-05-09,9.137448,-75.808987,2016-05-13,2016-06-30,2016-09-19,CORDOBA,LORICA,Grano seco,5720.930232558139
