ID_EVENTO,ID_LOTE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,FECHA_FLORACION
3264,2994,2015-09-21,2015-09-26,2016-02-11,2015-11-12
3265,2995,2015-09-20,2015-09-25,2016-02-06,2015-11-06
3266,2996,2015-09-19,2015-09-24,2016-02-04,2015-11-10
3267,2976,2015-10-19,2015-10-24,2016-02-25,2015-12-09
3268,2977,2015-10-08,2015-10-12,2016-02-16,2015-11-26
3270,2979,2015-10-01,2015-10-05,2016-02-20,2015-11-21
3271,2980,2015-10-02,2015-10-06,2016-02-13,2015-11-21
3273,2982,2015-09-24,2015-09-28,2016-02-04,2015-11-14
3274,2983,2015-10-25,2015-10-30,2016-02-08,2015-12-15
3275,2984,2015-10-21,2015-10-25,2016-03-03,2015-12-11
3276,2985,2015-10-26,2015-10-30,2016-03-03,2015-12-15
3277,2997,2015-10-17,2015-10-21,2016-02-23,2015-12-05
3278,2998,2015-09-28,2015-10-02,2016-02-09,2015-11-15
3279,2999,2015-10-05,2015-10-09,2016-02-20,2015-11-25
3280,3000,2015-09-25,2015-09-30,2016-02-12,2015-11-20
3281,3001,2015-09-19,2015-09-24,2016-02-07,2015-11-15
3282,3002,2015-09-21,2015-09-26,2016-02-08,2015-11-13
3285,3005,2015-10-03,2015-10-08,2016-02-15,2015-11-24
3286,3006,2015-10-04,2015-10-09,2016-02-16,2015-11-25
3287,3007,2015-10-04,2015-10-09,2016-02-16,2015-11-24
3290,3010,2015-10-03,2015-10-08,2016-02-19,2015-11-24
3291,3011,2015-10-03,2015-10-08,2016-02-17,2015-11-24
3292,3012,2015-09-23,2015-09-28,2016-02-10,2015-11-13
3293,3013,2015-10-05,2015-10-11,2016-02-28,2015-11-27
3294,3014,2015-10-06,2015-10-11,2016-02-25,2015-11-25
3295,3015,2015-10-06,2015-10-11,2016-02-25,2015-11-26
3297,3016,2015-10-06,2015-10-10,2016-02-22,2015-11-26
3298,3017,2015-09-26,2015-09-30,2016-02-08,2015-11-11
3299,3018,2015-10-09,2015-10-13,2016-02-20,2015-11-30
3300,3019,2015-09-13,2015-09-18,2016-01-28,2015-11-06
3301,3020,2015-09-27,2015-10-02,2016-02-10,2015-11-18
3302,3021,2015-09-27,2015-10-01,2016-02-10,2015-10-18
3303,3022,2015-10-02,2015-10-07,2016-02-17,2015-11-23
3304,3023,2015-09-20,2015-09-25,2016-02-10,2015-11-10
3305,3024,2015-09-22,2015-09-27,2016-02-09,2015-11-13
3306,3025,2015-09-20,2015-09-25,2016-02-08,2015-11-11
3307,3026,2015-09-20,2015-09-25,2016-02-09,2015-11-12
3308,3027,2015-09-25,2015-09-30,2016-02-10,2015-11-16
3309,3028,2015-09-26,2015-10-01,2016-02-12,2015-11-18
3310,3029,2015-09-26,2015-10-01,2016-02-14,2015-11-16
3311,3030,2015-09-27,2015-10-02,2016-02-13,2015-11-17
3312,3031,2015-09-28,2015-10-03,2016-02-18,2015-11-19
3313,3032,2015-09-28,2015-10-03,2016-02-19,2015-11-19
3314,3033,2015-09-25,2015-09-30,2016-02-09,2015-11-16
3315,3034,2015-09-25,2015-09-30,2016-02-08,2015-11-16
3316,3035,2015-09-27,2015-10-02,2016-02-12,2015-11-17
3317,3036,2015-09-29,2015-10-04,2016-02-13,2015-11-19
3318,3037,2015-10-02,2015-10-08,2016-02-19,2015-11-24
3319,3038,2015-10-01,2015-10-06,2016-02-21,2015-11-22
3320,3039,2015-10-01,2015-10-06,2016-02-20,2015-11-22
3321,3040,2015-10-03,2015-10-08,2016-02-18,2015-11-24
3322,3041,2015-10-04,2015-10-09,2016-02-19,2015-11-25
3323,3042,2015-09-28,2015-10-03,2016-02-24,2015-11-19
3324,3043,2015-09-27,2015-10-02,2016-02-20,2015-11-18
3325,3044,2015-09-25,2015-09-30,2016-02-16,2015-11-15
3326,3045,2015-09-26,2015-10-01,2016-02-14,2015-11-16
3328,3046,2015-09-27,2015-10-01,2016-02-10,2015-11-17
3329,3047,2015-09-15,2015-09-20,2016-02-28,2015-11-07
3330,3048,2015-09-22,2015-09-27,2016-02-08,2015-11-12
3331,3049,2015-10-02,2015-10-06,2016-02-12,2015-11-22
3332,3050,2015-10-05,2015-10-09,2016-02-18,2015-11-26
3333,3051,2015-10-01,2015-10-05,2016-02-15,2015-11-22
3334,3052,2015-10-02,2015-10-06,2016-02-12,2015-11-23
3335,3053,2015-10-05,2015-10-09,2016-02-18,2015-11-25
3336,3054,2015-09-23,2015-09-25,2016-02-10,2015-11-13
3337,3055,2015-09-30,2015-10-04,2016-02-13,2015-11-20
3339,3057,2015-09-15,2015-09-19,2016-01-28,2015-11-06
3340,3058,2015-09-20,2015-09-24,2016-02-03,2015-11-09
3341,3059,2015-10-03,2015-10-07,2016-02-13,2015-11-23
3342,3060,2015-10-13,2015-10-17,2016-02-25,2015-12-03
3343,3061,2015-10-05,2015-10-09,2016-02-16,2015-11-25
3344,3062,2015-09-18,2015-09-22,2016-01-26,2015-11-08
3345,3063,2015-10-10,2015-10-14,2016-02-25,2015-11-30
3346,3064,2015-09-26,2015-10-01,2016-02-15,2015-11-14
3347,3065,2015-10-02,2015-10-06,2016-02-12,2015-11-22
3348,3066,2015-09-28,2015-10-02,2016-02-09,2015-11-18
3690,3507,2016-05-04,2016-05-09,2016-09-24,2016-06-25
3698,3516,2016-05-14,2016-05-19,2016-09-24,2016-07-04
3699,3517,2016-05-17,2016-05-23,2016-09-25,2016-07-08
3701,3518,2016-05-17,2016-05-27,2016-09-29,2016-07-07
3713,3540,2016-04-28,2016-05-02,2016-08-22,2016-06-20
3732,3559,2016-05-13,2016-05-17,2016-09-19,2016-07-03
3739,3569,2016-04-30,2016-05-05,2016-09-12,2016-06-20
3741,3571,2016-05-10,2016-05-14,2016-09-19,2016-06-29
3744,3582,2016-05-05,2016-05-10,2016-09-13,2016-06-26
3751,3586,2016-04-25,2016-04-30,2016-09-07,2016-06-17
3775,3631,2016-05-10,2016-05-14,2016-09-22,2016-06-29
3815,3667,2016-05-16,2016-05-21,2016-09-30,2016-07-04
3816,3668,2016-05-04,2016-05-08,2016-09-19,2016-06-26
3817,3633,2016-04-25,2016-04-29,2016-09-05,2016-06-14
3818,3643,2016-05-17,2016-05-22,2016-09-29,2016-07-07
3819,3644,2016-05-16,2016-05-20,2016-09-26,2016-07-04
3820,3632,2016-05-09,2016-05-13,2016-09-21,2016-06-27
3821,3642,2016-04-27,2016-05-02,2016-09-08,2016-06-14
3824,3671,2016-05-09,2016-05-13,2016-09-19,2016-07-01
3825,3672,2016-05-03,,2016-09-19,
3826,3673,2016-05-04,2016-05-06,2016-09-12,2016-06-23
3828,3675,2016-05-02,2016-05-06,2016-09-14,2016-06-20
3829,3676,2016-05-03,2016-05-07,2016-09-12,2016-06-23
3830,3677,2016-05-07,2016-05-12,2016-09-19,2016-06-27
3849,3692,2016-06-06,2016-06-11,2016-10-21,2016-07-27
3851,3693,2016-05-19,2016-05-24,2016-10-02,2016-07-09
3853,3694,2016-05-27,2016-06-01,2016-10-10,2016-07-16
3856,3695,2016-05-10,2016-05-15,2016-09-21,2016-06-30
3857,3696,2016-04-28,2016-05-03,2016-09-14,2016-06-18
3859,3697,2016-05-15,2016-05-20,2016-09-25,2016-07-06
3860,3698,2016-05-14,2016-05-19,2016-09-23,2016-07-05
3862,3699,2016-05-06,2016-05-11,2016-09-18,2016-06-26
3864,3700,2016-05-07,2016-05-12,2016-09-19,2016-06-28
3865,3701,2016-05-12,2016-05-17,2016-09-20,2016-07-02
3866,3710,2016-05-04,2016-05-09,2016-09-17,2016-06-24
3881,3715,2016-06-21,2016-06-26,2016-10-25,2016-08-10
3882,3716,2016-05-21,2016-05-26,2016-10-27,2016-07-11
3883,3717,2016-05-12,2016-05-17,2016-09-26,2016-07-01
3885,3718,2016-05-01,2016-05-06,2016-09-20,2016-06-22
3888,3719,2016-05-02,2016-05-07,2016-09-20,2016-06-24
3890,3720,2016-05-02,2016-05-07,2016-09-20,2016-06-24
3910,3679,2016-04-28,2016-05-02,2016-09-15,2016-06-13
3911,3686,2016-05-03,2016-05-08,2016-09-14,2016-06-26
3912,3685,2016-05-08,2016-05-12,2016-09-20,2016-06-30
3913,3684,2016-04-30,2016-05-04,2016-09-10,2016-06-19
3914,3683,2016-05-01,2016-05-05,2016-09-19,2016-06-21
3915,3682,2016-04-29,2016-05-04,2016-09-12,2016-06-22
3916,3681,2016-05-01,2016-05-05,2016-09-13,2016-06-19
3917,3680,2016-05-02,2016-05-06,2016-09-12,2016-06-23
3918,3724,2016-05-05,2016-05-09,2016-09-12,2016-06-27
3920,3733,2016-05-06,2016-05-10,2016-09-14,2016-06-25
3921,3734,2016-05-05,2016-05-10,2016-09-20,2016-06-28
3923,3735,2016-04-30,2016-05-03,2016-09-20,2016-06-20
3924,3736,2016-05-10,2016-05-14,2016-09-21,2016-06-28
3926,3737,2016-05-12,2016-05-16,2016-09-14,2016-07-01
3927,3738,2016-05-01,2016-05-05,2016-09-13,2016-06-23
3929,3739,2016-05-10,2016-05-14,2016-09-20,2016-06-30
3930,3740,2016-05-06,2016-05-10,2016-09-14,2016-06-24
3931,3741,2016-05-02,2016-05-07,2016-09-12,2016-06-23
3932,3742,2016-05-10,2016-05-15,2016-09-19,2016-06-29
3935,3745,2016-05-07,2016-05-12,2016-09-18,2016-06-30
3936,3750,2016-05-02,2016-05-06,2016-09-13,2016-06-20
3937,3743,2016-05-12,2016-05-16,2016-09-24,2016-06-29
3939,3744,2016-05-08,2016-05-12,2016-09-20,2016-06-27
3940,3746,2016-05-13,2016-05-17,2016-09-27,2016-07-04
3942,3747,2016-05-04,2016-05-09,2016-09-12,2016-06-28
