ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor
548,479,Mecanizado,NO,Otro,Maiz,SI,Manual,SI,1,3581.395349,6,45,70,60000,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,3
549,480,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,3,2412.790698,5,46,92,68000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,1
559,484,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,2,4767.44186,5,43,79,68000,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
560,485,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.5,5339.534884,5,42,71,65000,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,0,0,3,0,0,30,0,0,0,0,0,5
617,514,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2,3337.209302,5,43,78,68000,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92,0,0,0,0,0,30,0,0,0,0,0,3
618,515,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,6.9,4825.581395,5,45,102,60000,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,2
766,651,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,1.5,3296.511628,5,44,73,60000,8,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,3
769,654,Manual,SI,Otro,Algodón,SI,Manual,NO,1.25,3296.511628,4,44,79,60000,12,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,4
779,665,Manual,NO,PIONEER 30F35 H,Pastos,NO,Manual,NO,1,3013.953488,8,34,78,57000,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,46,23,0,0,0,0,0,0,0,0,0,0,1,1
780,666,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,1.2,3398.837209,7,41,79,62000,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,82.8,0,0,0,0,0,0,0,0,0,0,0,2
781,667,Manual,NO,PIONEER 30F35,Algodón,NO,Manual,NO,1.5,3579.069767,6,43,79,60000,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,34.5,23,0,0,0,0,0,0,0,0,0,0,1,1
