ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose
53,40,Mecanizado,NO,PIONEER 30F32,Algodón,SI,Manual,NO,1.0,4767.441860465116,5.0,63.0,68.0,60000.0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,43,Mecanizado,SI,DK 234,Maiz,SI,Manual,NO,1.0,4651.162790697675,5.0,64.0,63.0,60000.0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,44,Mecanizado,NO,PIONEER 30F32,Algodón,SI,Manual,NO,1.0,5180.232558139535,5.0,59.0,66.0,60000.0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,45,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,1.0,4897.674418604651,5.0,64.0,59.0,60000.0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
273,46,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,1.0,5302.325581395349,5.0,63.0,60.0,60000.0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
282,47,Mecanizado,SI,DK 234,Maiz,SI,Manual,NO,1.0,4958.139534883721,6.0,72.0,55.0,60000.0,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
283,51,Manual,SI,Otro,Maiz,SI,Manual,NO,1.0,4426.744186046512,5.0,47.0,86.0,60000.0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
284,268,Manual,SI,PIONEER 30F32,Algodón,SI,Manual,NO,1.0,5790.697674418605,5.0,42.0,89.0,60000.0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
286,269,Manual,SI,DK 234,Algodón,SI,Manual,NO,1.0,5116.279069767442,6.0,42.0,86.0,60000.0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
287,270,Mecanizado,NO,PIONEER 30F35,Frijol,SI,Manual,NO,1.0,4238.372093023256,5.0,56.0,71.0,60000.0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
288,271,Mecanizado,SI,Otro,Algodón,SI,Manual,NO,1.0,5911.627906976744,6.0,56.0,72.0,60000.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,272,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,5053.488372093024,5.0,43.0,85.0,60000.0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
290,273,Manual,SI,FNC 3056,Algodón,SI,Manual,NO,1.0,4186.0465116279065,5.0,58.0,71.0,58000.0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
291,274,Manual,NO,PIONEER 30F32,Maiz,SI,Mecanizada,NO,1.0,5790.697674418605,5.0,59.0,69.0,60000.0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
293,276,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,1.0,4868.60465116279,4.0,60.0,63.0,60000.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
294,277,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,5462.790697674419,5.0,68.0,54.0,60000.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
295,278,Manual,NO,PIONEER 30F35,Yuca,SI,Manual,NO,1.0,5052.325581395348,6.0,65.0,70.0,60000.0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
