,0
154,RECUBRIMIENTO_VEGETAL_SUELO_RASTA_REGULAR
155,RECUBRIMIENTO_VEGETAL_SUELO_RASTA_SIN COBERTURA
156,d_interno_BUENO
157,d_interno_EXCESIVO
158,d_interno_LENTO A MUY LENTO
159,drenaje_externo_LENTO
160,drenaje_externo_NINGUNO
161,SEM_TRATADAS
162,DRENAJE
163,ALMACENAMIENTO_FINCA
164,CAP_ENDURE_RASTA
165,MOTEADOS_RASTA
166,MOTEADOS_MAS70cm_RASTA
167,OBSERVA_EROSION_RASTA
168,OBSERVA_MOHO_RASTA
169,OBSERVA_RAICES_VIVAS_RASTA
170,OBSERVA_HOJARASCA_MO_RASTA
171,SUELO_NEGRO_BLANDO_RASTA
172,CUCHILLO_PRIMER_HTE_RASTA
173,CERCA_RIOS_QUEBRADAS_RASTA
